team,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches_last_4y,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,draws_last_4y,losses_last_4y,world_cup_participations_before,world_cup_titles_before,data_as_of,ranking_source,recent_form_source,world_cup_history_source
Argentina,1,1877.27,49,111,22,39,5,5,18,3,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Spain,2,1874.71,48,122,40,33,11,4,16,1,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
France,3,1870.7,49,107,45,32,8,9,16,2,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
England,4,1828.02,49,102,35,31,9,9,16,1,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Portugal,5,1767.85,48,122,40,33,7,8,8,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Brazil,6,1765.34,44,82,46,22,11,11,22,5,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Morocco,7,1755.62,61,121,24,44,13,4,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Netherlands,8,1753.57,48,110,49,28,11,9,11,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Belgium,9,1742.24,45,92,38,24,11,10,14,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Germany,10,1735.77,47,101,59,26,9,12,20,4,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Croatia,11,1714.87,47,84,45,26,12,9,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Italy,12,1704.73,43,79,53,25,7,11,18,4,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Mexico,13,1700.98,67,101,63,34,17,16,17,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Colombia,14,1698.35,45,87,39,27,11,7,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
United States,15,1688.53,62,113,72,29,13,20,11,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Senegal,16,1684.07,54,103,39,34,13,7,3,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Uruguay,17,1673.07,44,58,33,18,17,9,14,2,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Japan,18,1661.58,49,128,35,33,8,8,7,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Switzerland,19,1640.92,46,85,55,20,17,9,12,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
IR Iran,20,1619.58,46,95,39,30,9,7,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Denmark,21,1619.47,43,73,42,21,12,10,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Korea Republic,22,1612.55,53,103,51,30,14,9,11,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Australia,23,1605.61,44,77,34,26,7,11,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Ecuador,24,1598.52,45,48,27,19,19,7,4,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Austria,25,1597.4,41,86,35,26,7,8,7,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Nigeria,26,1585.02,51,83,50,25,17,9,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Turkey,27,1579.47,44,81,59,26,7,11,2,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Algeria,28,1571.03,54,114,38,37,12,5,4,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
