source_league,source_season,date,round,home_team,score,away_team,venue,game_id
INT-European Championship,2024,2024-06-14,Group stage,Germany,5–1,Scotland,Allianz Arena (Neutral Site),bd775264
INT-European Championship,2024,2024-06-15,Group stage,Hungary,1–3,Switzerland,RheinEnergieSTADION (Neutral Site),c15ec4e7
INT-European Championship,2024,2024-06-15,Group stage,Italy,2–1,Albania,Signal Iduna Park (Neutral Site),4891e62c
INT-European Championship,2024,2024-06-15,Group stage,Spain,3–0,Croatia,Olympiastadion Berlin (Neutral Site),b996c4de
INT-European Championship,2024,2024-06-16,Group stage,Poland,1–2,Netherlands,Volksparkstadion (Neutral Site),923de563
INT-European Championship,2024,2024-06-16,Group stage,Serbia,0–1,England,Veltins-Arena (Neutral Site),94c752b7
INT-European Championship,2024,2024-06-16,Group stage,Slovenia,1–1,Denmark,MHPArena (Neutral Site),e58cc259
INT-European Championship,2024,2024-06-17,Group stage,Austria,0–1,France,Merkur Spielarena (Neutral Site),3d8961eb
INT-European Championship,2024,2024-06-17,Group stage,Belgium,0–1,Slovakia,Deutsche Bank Park (Neutral Site),5bda83ea
INT-European Championship,2024,2024-06-17,Group stage,Romania,3–0,Ukraine,Allianz Arena (Neutral Site),67c17ad9
INT-European Championship,2024,2024-06-18,Group stage,Portugal,2–1,Czechia,Red Bull Arena (Neutral Site),5e8192b8
INT-European Championship,2024,2024-06-18,Group stage,Türkiye,3–1,Georgia,Signal Iduna Park (Neutral Site),36e9e40e
INT-European Championship,2024,2024-06-19,Group stage,Croatia,2–2,Albania,Volksparkstadion (Neutral Site),30406358
INT-European Championship,2024,2024-06-19,Group stage,Germany,2–0,Hungary,MHPArena (Neutral Site),248233a8
INT-European Championship,2024,2024-06-19,Group stage,Scotland,1–1,Switzerland,RheinEnergieSTADION (Neutral Site),5ef87a15
INT-European Championship,2024,2024-06-20,Group stage,Denmark,1–1,England,Deutsche Bank Park (Neutral Site),6cfeccb2
INT-European Championship,2024,2024-06-20,Group stage,Slovenia,1–1,Serbia,Allianz Arena (Neutral Site),874a95ef
INT-European Championship,2024,2024-06-20,Group stage,Spain,1–0,Italy,Veltins-Arena (Neutral Site),3f7c6e94
INT-European Championship,2024,2024-06-21,Group stage,Netherlands,0–0,France,Red Bull Arena (Neutral Site),ad8d106c
INT-European Championship,2024,2024-06-21,Group stage,Poland,1–3,Austria,Olympiastadion Berlin (Neutral Site),298d4d8f
INT-European Championship,2024,2024-06-21,Group stage,Slovakia,1–2,Ukraine,Merkur Spielarena (Neutral Site),73849328
INT-European Championship,2024,2024-06-22,Group stage,Belgium,2–0,Romania,RheinEnergieSTADION (Neutral Site),e0d67eb9
INT-European Championship,2024,2024-06-22,Group stage,Georgia,1–1,Czechia,Volksparkstadion (Neutral Site),aab219f9
INT-European Championship,2024,2024-06-22,Group stage,Türkiye,0–3,Portugal,Signal Iduna Park (Neutral Site),5448c54c
INT-European Championship,2024,2024-06-23,Group stage,Scotland,0–1,Hungary,MHPArena (Neutral Site),2351343a
INT-European Championship,2024,2024-06-23,Group stage,Switzerland,1–1,Germany,Deutsche Bank Park (Neutral Site),14e2c55d
INT-European Championship,2024,2024-06-24,Group stage,Albania,0–1,Spain,Merkur Spielarena (Neutral Site),fde83534
