league,season,date,round,home_team,score,away_team,venue,game_id
INT-World Cup,2026,2026-06-11,Group stage,Korea Republic,2–1,Czechia,Estadio Akron (Neutral Site),beebb792
INT-World Cup,2026,2026-06-11,Group stage,Mexico,2–0,South Africa,Estadio Banorte (Neutral Site),3c1e3816
INT-World Cup,2026,2026-06-12,Group stage,Canada,1–1,Bosnia–Herz,BMO Field (Neutral Site),f6d2bd84
INT-World Cup,2026,2026-06-12,Group stage,United States,4–1,Paraguay,SoFi Stadium (Neutral Site),f6c0596c
INT-World Cup,2026,2026-06-13,Group stage,Australia,2–0,Türkiye,BC Place Stadium (Neutral Site),4ff2342a
INT-World Cup,2026,2026-06-13,Group stage,Brazil,1–1,Morocco,MetLife Stadium (Neutral Site),72d993fd
INT-World Cup,2026,2026-06-13,Group stage,Haiti,0–1,Scotland,Gillette Stadium (Neutral Site),58c3106f
INT-World Cup,2026,2026-06-13,Group stage,Qatar,1–1,Switzerland,Levi's Stadium (Neutral Site),58580af9
INT-World Cup,2026,2026-06-14,Group stage,Côte d'Ivoire,1–0,Ecuador,Lincoln Financial Field (Neutral Site),f8ee7eef
INT-World Cup,2026,2026-06-14,Group stage,Germany,7–1,Curaçao,Reliant Stadium (Neutral Site),a2c54ed9
INT-World Cup,2026,2026-06-14,Group stage,Netherlands,2–2,Japan,AT&T Stadium (Neutral Site),faa0cb98
INT-World Cup,2026,2026-06-14,Group stage,Sweden,5–1,Tunisia,Estadio BBVA (Neutral Site),6df52cfd
INT-World Cup,2026,2026-06-15,Group stage,Belgium,1–1,Egypt,Lumen Field (Neutral Site),5f18a385
INT-World Cup,2026,2026-06-15,Group stage,IR Iran,2–2,New Zealand,SoFi Stadium (Neutral Site),a039dc32
INT-World Cup,2026,2026-06-15,Group stage,Saudi Arabia,1–1,Uruguay,Hard Rock Stadium (Neutral Site),82de5964
INT-World Cup,2026,2026-06-15,Group stage,Spain,0–0,Cabo Verde,Mercedes-Benz Stadium (Neutral Site),c100284d
INT-World Cup,2026,2026-06-16,Group stage,Argentina,3–0,Algeria,GEHA Field at Arrowhead Stadium (Neutral Site),881ab666
INT-World Cup,2026,2026-06-16,Group stage,Austria,3–1,Jordan,Levi's Stadium (Neutral Site),140e19d9
INT-World Cup,2026,2026-06-16,Group stage,France,3–1,Senegal,MetLife Stadium (Neutral Site),2712fac7
INT-World Cup,2026,2026-06-16,Group stage,Iraq,1–4,Norway,Gillette Stadium (Neutral Site),17eda16a
INT-World Cup,2026,2026-06-17,Group stage,England,4–2,Croatia,AT&T Stadium (Neutral Site),c42ce3be
INT-World Cup,2026,2026-06-17,Group stage,Ghana,1–0,Panama,BMO Field (Neutral Site),9f71086a
INT-World Cup,2026,2026-06-17,Group stage,Portugal,1–1,Congo DR,Reliant Stadium (Neutral Site),c95830e9
INT-World Cup,2026,2026-06-17,Group stage,Uzbekistan,1–3,Colombia,Estadio Banorte (Neutral Site),3329959e
INT-World Cup,2026,2026-06-18,Group stage,Canada,6–0,Qatar,BC Place Stadium (Neutral Site),60dedabb
