country,fifa_country,fcratings_country,group,fcratings_country_url,rank_in_country,player_name,player_url,position,club,club_url,ovr,pac,sho,pas,dri,def,phy,source_url
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,1,Patrik Schick,https://www.fcratings.com/patrik-schick-234236,ST,Bayer 04 Leverkusen,https://www.fcratings.com/clubs/bayer-04-leverkusen-32,85,72,83,71,81,38,77,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,2,Lukáš Provod,https://www.fcratings.com/lukas-provod-253727,CAM,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,79,77,75,79,78,65,83,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,3,Kateřina Svitková,https://www.fcratings.com/katerina-svitkova-265304,CAM,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-131360,78,74,78,76,82,71,69,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,4,Ladislav Krejčí,https://www.fcratings.com/ladislav-krejci-252064,CB,Wolverhampton Wanderers F.C.,https://www.fcratings.com/clubs/wolverhampton-wanderers-fc-110,78,72,68,68,69,76,84,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,5,Pavel Šulc,https://www.fcratings.com/pavel-sulc-247050,CAM,Olympique Lyonnais,https://www.fcratings.com/clubs/olympique-lyonnais-66,78,74,77,75,78,47,73,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,6,Vladimír Coufal,https://www.fcratings.com/vladimir-coufal-244470,RB,TSG 1899 Hoffenheim,https://www.fcratings.com/clubs/tsg-1899-hoffenheim-10029,78,71,57,73,72,75,74,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,7,Barbora Votíková,https://www.fcratings.com/barbora-votikova-265040,GK,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-131360,77,80,69,70,81,50,79,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,8,Adam Hložek,https://www.fcratings.com/adam-hlozek-246618,ST,TSG 1899 Hoffenheim,https://www.fcratings.com/clubs/tsg-1899-hoffenheim-10029,77,78,78,72,77,31,79,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,9,Václav Černý,https://www.fcratings.com/vaclav-cerny-216860,RM,Beşiktaş J.K.,https://www.fcratings.com/clubs/besiktas-jk-327,77,85,72,71,77,39,65,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,10,Michal Sadílek,https://www.fcratings.com/michal-sadilek-245209,CDM,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,77,58,61,75,72,73,79,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,11,Matěj Kovář,https://www.fcratings.com/matej-kovar-242948,GK,,,77,76,76,78,77,30,77,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,12,Tomáš Souček,https://www.fcratings.com/tomas-soucek-236792,CDM,West Ham United F.C.,https://www.fcratings.com/clubs/west-ham-united-fc-19,76,45,72,71,67,77,79,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,13,Tomáš Holeš,https://www.fcratings.com/tomas-holes-251116,CB,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,76,74,58,69,69,75,80,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,14,Jindřich Staněk,https://www.fcratings.com/jindrich-stanek-221909,GK,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,76,75,72,78,79,36,77,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,15,Klára Cahynová,https://www.fcratings.com/klara-cahynova-272054,CDM,Real Sociedad B,https://www.fcratings.com/clubs/real-sociedad-b-116336,76,61,37,71,72,77,78,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,16,Václav Jemelka,https://www.fcratings.com/vaclav-jemelka-259188,CB,FC Viktoria Plzeň,https://www.fcratings.com/clubs/fc-viktoria-plzen-110468,76,66,49,65,68,76,78,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,17,Vasil Kušej,https://www.fcratings.com/vasil-kusej-241186,LW,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,76,79,72,70,79,28,66,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,18,Robin Hranáč,https://www.fcratings.com/robin-hranac-276646,CB,TSG 1899 Hoffenheim,https://www.fcratings.com/clubs/tsg-1899-hoffenheim-10029,76,73,38,52,53,76,77,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,19,Martin Jedlička,https://www.fcratings.com/martin-jedlicka-269511,GK,FC Viktoria Plzeň,https://www.fcratings.com/clubs/fc-viktoria-plzen-110468,75,74,76,70,77,35,73,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,20,Olivie Lukášová,https://www.fcratings.com/olivie-lukasova-275811,GK,AS Roma Women,https://www.fcratings.com/clubs/as-roma-women-116282,75,71,71,70,76,41,75,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,21,Antonín Kinský,https://www.fcratings.com/antonin-kinsky-73580,GK,Tottenham Hotspur F.C.,https://www.fcratings.com/clubs/tottenham-hotspur-fc-18,75,76,76,76,75,45,74,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,22,Tomáš Chorý,https://www.fcratings.com/tomas-chory-244793,ST,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,75,57,75,60,64,32,88,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,23,David Zima,https://www.fcratings.com/david-zima-255687,CB,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-266,75,76,39,56,66,77,75,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,24,Lukas Hornicek,https://www.fcratings.com/lukas-hornicek-258936,GK,S.C. Braga,https://www.fcratings.com/clubs/sc-braga-1896,75,74,74,73,77,28,75,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,25,Pavel Bucha,https://www.fcratings.com/pavel-bucha-244788,CM,FC Cincinnati,https://www.fcratings.com/clubs/fc-cincinnati-113149,74,71,70,72,74,69,71,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,26,Lukáš Červ,https://www.fcratings.com/lukas-cerv-71259,CDM,FC Viktoria Plzeň,https://www.fcratings.com/clubs/fc-viktoria-plzen-110468,74,69,68,67,68,71,78,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,27,Tereza Szewieczková,https://www.fcratings.com/tereza-szewieczkova-275808,LM,SK Slavia Prague,https://www.fcratings.com/clubs/sk-slavia-prague-131360,74,67,72,73,74,63,70,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,28,Filip Panák,https://www.fcratings.com/filip-panak-247643,CB,AC Sparta Prague,https://www.fcratings.com/clubs/ac-sparta-prague-267,74,70,53,68,69,73,77,https://www.fcratings.com/nations/czech-republic-12
Czechia,Czechia,Czech Republic,A,https://www.fcratings.com/nations/czech-republic-12,29,Pavel Kadeřábek,https://www.fcratings.com/pavel-kaderabek-203605,RB,AC Sparta Prague,https://www.fcratings.com/clubs/ac-sparta-prague-267,74,64,47,71,70,71,75,https://www.fcratings.com/nations/czech-republic-12
