match_id,date_label,stage,group,team_a,team_b,goals_a,goals_b,source
4667751,2026-06-11T19:00:00.000Z,Group Stage,,Mexico,South Africa,2,0,fotmob_match_facts_clean
4667752,2026-06-12T02:00:00.000Z,Group Stage,,South Korea,Czechia,2,1,fotmob_match_facts_clean
4667757,2026-06-12T19:00:00.000Z,Group Stage,,Canada,Bosnia and Herzegovina,1,1,fotmob_match_facts_clean
4667771,2026-06-13T01:00:00.000Z,Group Stage,,USA,Paraguay,4,1,fotmob_match_facts_clean
4667758,2026-06-13T19:00:00.000Z,Group Stage,,Qatar,Switzerland,1,1,fotmob_match_facts_clean
4667764,2026-06-13T22:00:00.000Z,Group Stage,,Brazil,Morocco,1,1,fotmob_match_facts_clean
4667765,2026-06-14T01:00:00.000Z,Group Stage,,Haiti,Scotland,0,1,fotmob_match_facts_clean
4667772,2026-06-14T04:00:00.000Z,Group Stage,,Australia,Turkiye,2,0,fotmob_match_facts_clean
4667777,2026-06-14T17:00:00.000Z,Group Stage,,Germany,Curacao,7,1,fotmob_match_facts_clean
4667783,2026-06-14T20:00:00.000Z,Group Stage,,Netherlands,Japan,2,2,fotmob_match_facts_clean
4667778,2026-06-14T23:00:00.000Z,Group Stage,,Ivory Coast,Ecuador,1,0,fotmob_match_facts_clean
4667784,2026-06-15T02:00:00.000Z,Group Stage,,Sweden,Tunisia,5,1,fotmob_match_facts_clean
4667798,2026-06-15T16:00:00.000Z,Group Stage,,Spain,Cape Verde,0,0,fotmob_match_facts_clean
4667790,2026-06-15T19:00:00.000Z,Group Stage,,Belgium,Egypt,1,1,fotmob_match_facts_clean
4667799,2026-06-15T22:00:00.000Z,Group Stage,,Saudi Arabia,Uruguay,1,1,fotmob_match_facts_clean
4667791,2026-06-16T01:00:00.000Z,Group Stage,,Iran,New Zealand,2,2,fotmob_match_facts_clean
4667804,2026-06-16T19:00:00.000Z,Group Stage,,France,Senegal,3,1,fotmob_match_facts_clean
4667805,2026-06-16T22:00:00.000Z,Group Stage,,Iraq,Norway,1,4,fotmob_match_facts_clean
4667812,2026-06-17T01:00:00.000Z,Group Stage,,Argentina,Algeria,3,0,fotmob_match_facts_clean
4667813,2026-06-17T04:00:00.000Z,Group Stage,,Austria,Jordan,3,1,fotmob_match_facts_clean
4667819,2026-06-17T17:00:00.000Z,Group Stage,,Portugal,DR Congo,1,1,fotmob_match_facts_clean
4667825,2026-06-17T20:00:00.000Z,Group Stage,,England,Croatia,4,2,fotmob_match_facts_clean
4667826,2026-06-17T23:00:00.000Z,Group Stage,,Ghana,Panama,1,0,fotmob_match_facts_clean
4667820,2026-06-18T02:00:00.000Z,Group Stage,,Uzbekistan,Colombia,1,3,fotmob_match_facts_clean
4667753,2026-06-18T16:00:00.000Z,Group Stage,,Czechia,South Africa,1,1,fotmob_match_facts_clean
4667759,2026-06-18T19:00:00.000Z,Group Stage,,Switzerland,Bosnia and Herzegovina,4,1,fotmob_match_facts_clean
4667760,2026-06-18T22:00:00.000Z,Group Stage,,Canada,Qatar,6,0,fotmob_match_facts_clean
4667754,2026-06-19T01:00:00.000Z,Group Stage,,Mexico,South Korea,1,0,fotmob_match_facts_clean
4667774,2026-06-19T19:00:00.000Z,Group Stage,,USA,Australia,2,0,fotmob_match_facts_clean
4667766,2026-06-19T22:00:00.000Z,Group Stage,,Scotland,Morocco,0,1,fotmob_match_facts_clean
4667767,2026-06-20T00:30:00.000Z,Group Stage,,Brazil,Haiti,3,0,fotmob_match_facts_clean
4667773,2026-06-20T03:00:00.000Z,Group Stage,,Turkiye,Paraguay,0,1,fotmob_match_facts_clean
4667786,2026-06-20T17:00:00.000Z,Group Stage,,Netherlands,Sweden,5,1,fotmob_match_facts_clean
4667780,2026-06-20T20:00:00.000Z,Group Stage,,Germany,Ivory Coast,2,1,fotmob_match_facts_clean
4667779,2026-06-21T00:00:00.000Z,Group Stage,,Ecuador,Curacao,0,0,fotmob_match_facts_clean
4667785,2026-06-21T04:00:00.000Z,Group Stage,,Tunisia,Japan,0,4,fotmob_match_facts_clean
4667801,2026-06-21T16:00:00.000Z,Group Stage,,Spain,Saudi Arabia,4,0,fotmob_match_facts_clean
4667793,2026-06-21T19:00:00.000Z,Group Stage,,Belgium,Iran,0,0,fotmob_match_facts_clean
4667800,2026-06-21T22:00:00.000Z,Group Stage,,Uruguay,Cape Verde,2,2,fotmob_match_facts_clean
4667792,2026-06-22T01:00:00.000Z,Group Stage,,New Zealand,Egypt,1,3,fotmob_match_facts_clean
4667815,2026-06-22T17:00:00.000Z,Group Stage,,Argentina,Austria,2,0,fotmob_match_facts_clean
4667807,2026-06-22T21:00:00.000Z,Group Stage,,France,Iraq,3,0,fotmob_match_facts_clean
4667806,2026-06-23T00:00:00.000Z,Group Stage,,Norway,Senegal,3,2,fotmob_match_facts_clean
4667814,2026-06-23T03:00:00.000Z,Group Stage,,Jordan,Algeria,1,2,fotmob_match_facts_clean
4667822,2026-06-23T17:00:00.000Z,Group Stage,,Portugal,Uzbekistan,5,0,fotmob_match_facts_clean
4667828,2026-06-23T20:00:00.000Z,Group Stage,,England,Ghana,0,0,fotmob_match_facts_clean
4667827,2026-06-23T23:00:00.000Z,Group Stage,,Panama,Croatia,0,1,fotmob_match_facts_clean
4667821,2026-06-24T02:00:00.000Z,Group Stage,,Colombia,DR Congo,1,0,fotmob_match_facts_clean
4667761,2026-06-24T19:00:00.000Z,Group Stage,,Switzerland,Canada,2,1,fotmob_match_facts_clean
4667762,2026-06-24T19:00:00.000Z,Group Stage,,Bosnia and Herzegovina,Qatar,3,1,fotmob_match_facts_clean
4667768,2026-06-24T22:00:00.000Z,Group Stage,,Scotland,Brazil,0,3,fotmob_match_facts_clean
4667769,2026-06-24T22:00:00.000Z,Group Stage,,Morocco,Haiti,4,2,fotmob_match_facts_clean
4667755,2026-06-25T01:00:00.000Z,Group Stage,,Czechia,Mexico,0,3,fotmob_match_facts_clean
4667756,2026-06-25T01:00:00.000Z,Group Stage,,South Africa,South Korea,1,0,fotmob_match_facts_clean
4667781,2026-06-25T20:00:00.000Z,Group Stage,,Ecuador,Germany,2,1,fotmob_match_facts_clean
4667782,2026-06-25T20:00:00.000Z,Group Stage,,Curacao,Ivory Coast,0,2,fotmob_match_facts_clean
4667787,2026-06-25T23:00:00.000Z,Group Stage,,Tunisia,Netherlands,1,3,fotmob_match_facts_clean
4667788,2026-06-25T23:00:00.000Z,Group Stage,,Japan,Sweden,1,1,fotmob_match_facts_clean
4667775,2026-06-26T02:00:00.000Z,Group Stage,,Turkiye,USA,3,2,fotmob_match_facts_clean
4667776,2026-06-26T02:00:00.000Z,Group Stage,,Paraguay,Australia,0,0,fotmob_match_facts_clean
4667808,2026-06-26T19:00:00.000Z,Group Stage,,Norway,France,1,4,fotmob_match_facts_clean
4667809,2026-06-26T19:00:00.000Z,Group Stage,,Senegal,Iraq,5,0,fotmob_match_facts_clean
4667802,2026-06-27T00:00:00.000Z,Group Stage,,Uruguay,Spain,0,1,fotmob_match_facts_clean
4667803,2026-06-27T00:00:00.000Z,Group Stage,,Cape Verde,Saudi Arabia,0,0,fotmob_match_facts_clean
4667794,2026-06-27T03:00:00.000Z,Group Stage,,New Zealand,Belgium,1,5,fotmob_match_facts_clean
4667795,2026-06-27T03:00:00.000Z,Group Stage,,Egypt,Iran,1,1,fotmob_match_facts_clean
4667829,2026-06-27T21:00:00.000Z,Group Stage,,Panama,England,0,2,fotmob_match_facts_clean
4667830,2026-06-27T21:00:00.000Z,Group Stage,,Croatia,Ghana,2,1,fotmob_match_facts_clean
4667823,2026-06-27T23:30:00.000Z,Group Stage,,Colombia,Portugal,0,0,fotmob_match_facts_clean
4667824,2026-06-27T23:30:00.000Z,Group Stage,,DR Congo,Uzbekistan,3,1,fotmob_match_facts_clean
4667816,2026-06-28T02:00:00.000Z,Group Stage,,Jordan,Argentina,1,3,fotmob_match_facts_clean
4667817,2026-06-28T02:00:00.000Z,Group Stage,,Algeria,Austria,3,3,fotmob_match_facts_clean
4653705,2026-06-28T19:00:00.000Z,Group Stage,,South Africa,Canada,0,1,fotmob_match_facts_clean
4653711,2026-06-29T17:00:00.000Z,Group Stage,,Brazil,Japan,2,1,fotmob_match_facts_clean
4653712,2026-06-30T17:00:00.000Z,Group Stage,,Ivory Coast,Norway,1,2,fotmob_match_facts_clean
4653704,2026-06-30T21:00:00.000Z,Group Stage,,France,Sweden,3,0,fotmob_match_facts_clean
4653713,2026-07-01T02:00:00.000Z,Group Stage,,Mexico,Ecuador,2,0,fotmob_match_facts_clean
4653714,2026-07-01T16:00:00.000Z,Group Stage,,England,DR Congo,2,1,fotmob_match_facts_clean
4653709,2026-07-02T00:00:00.000Z,Group Stage,,USA,Bosnia and Herzegovina,2,0,fotmob_match_facts_clean
4653708,2026-07-02T19:00:00.000Z,Group Stage,,Spain,Austria,3,0,fotmob_match_facts_clean
4653707,2026-07-02T23:00:00.000Z,Group Stage,,Portugal,Croatia,2,1,fotmob_match_facts_clean
4653717,2026-07-03T03:00:00.000Z,Group Stage,,Switzerland,Algeria,2,0,fotmob_match_facts_clean
