page,subtab,page_url,block_index,text
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,0,Yesterday France FT 2 - 0 Morocco
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,1,Today Spain 9:00 PM Belgium
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,2,Tomorrow Norway 11:00 PM England
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,3,"Sunday, July 12 Argentina 3:00 AM Switzerland"
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,0,"Sunday, July 5 Brazil FT 1 - 2 Norway"
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,1,"Monday, July 6 Mexico FT 2 - 3 England Portugal FT 0 - 1 Spain"
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,2,"Tuesday, July 7 USA FT 1 - 4 Belgium Argentina FT 3 - 2 Egypt Switzerland Pen 0 - 0 Colombia"
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,3,Yesterday France FT 2 - 0 Morocco
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,4,Today Spain 9:00 PM Belgium
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,5,Tomorrow Norway 11:00 PM England
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,6,"Sunday, July 12 Argentina 3:00 AM Switzerland"
