page,subtab,page_url,group,position,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,raw_text
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. A,1,Mexico,3,3,0,0,6,0,+6,9,W,1 | Mexico | 3 | 3 | 0 | 0 | 6 | - | 0 | +6 | 9 | W | W | W | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. A,2,South Africa,3,1,1,1,2,3,-1,4,L,2 | South Africa | 3 | 1 | 1 | 1 | 2 | - | 3 | -1 | 4 | L | D | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. A,3,South Korea,3,1,0,2,2,3,-1,3,W,3 | South Korea | 3 | 1 | 0 | 2 | 2 | - | 3 | -1 | 3 | W | L | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. A,4,Czechia,3,0,1,2,2,6,-4,1,L,4 | Czechia | 3 | 0 | 1 | 2 | 2 | - | 6 | -4 | 1 | L | D | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. B,1,Switzerland,3,2,1,0,7,3,+4,7,D,1 | Switzerland | 3 | 2 | 1 | 0 | 7 | - | 3 | +4 | 7 | D | W | W | W | D
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. B,2,Canada,3,1,1,1,8,3,+5,4,D,2 | Canada | 3 | 1 | 1 | 1 | 8 | - | 3 | +5 | 4 | D | W | L | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,D,3 | Bosnia and Herzegovina | 3 | 1 | 1 | 1 | 5 | - | 6 | -1 | 4 | D | L | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. B,4,Qatar,3,0,1,2,2,10,-8,1,D,4 | Qatar | 3 | 0 | 1 | 2 | 2 | - | 10 | -8 | 1 | D | L | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. C,1,Brazil,3,2,1,0,7,1,+6,7,D,1 | Brazil | 3 | 2 | 1 | 0 | 7 | - | 1 | +6 | 7 | D | W | W | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. C,2,Morocco,3,2,1,0,6,3,+3,7,W,2 | Morocco | 3 | 2 | 1 | 0 | 6 | - | 3 | +3 | 7 | W | W | D | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. C,3,Scotland,3,1,0,2,1,4,-3,3,W,3 | Scotland | 3 | 1 | 0 | 2 | 1 | - | 4 | -3 | 3 | W | L | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. C,4,Haiti,3,0,0,3,2,8,-6,0,L,4 | Haiti | 3 | 0 | 0 | 3 | 2 | - | 8 | -6 | 0 | L | L | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. D,1,USA,3,2,0,1,8,4,+4,6,W,1 | USA | 3 | 2 | 0 | 1 | 8 | - | 4 | +4 | 6 | W | W | L | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. D,2,Australia,3,1,1,1,2,2,0,4,W,2 | Australia | 3 | 1 | 1 | 1 | 2 | - | 2 | 0 | 4 | W | L | D | D
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. D,3,Paraguay,3,1,1,1,2,4,-2,4,L,3 | Paraguay | 3 | 1 | 1 | 1 | 2 | - | 4 | -2 | 4 | L | W | D | D | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. D,4,Turkiye,3,1,0,2,3,5,-2,3,L,4 | Turkiye | 3 | 1 | 0 | 2 | 3 | - | 5 | -2 | 3 | L | L | W
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. E,1,Germany,3,2,0,1,10,4,+6,6,W,1 | Germany | 3 | 2 | 0 | 1 | 10 | - | 4 | +6 | 6 | W | W | L | D
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. E,2,Ivory Coast,3,2,0,1,4,2,+2,6,W,2 | Ivory Coast | 3 | 2 | 0 | 1 | 4 | - | 2 | +2 | 6 | W | L | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. E,3,Ecuador,3,1,1,1,2,2,0,4,L,3 | Ecuador | 3 | 1 | 1 | 1 | 2 | - | 2 | 0 | 4 | L | D | W | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. E,4,Curacao,3,0,1,2,1,9,-8,1,L,4 | Curacao | 3 | 0 | 1 | 2 | 1 | - | 9 | -8 | 1 | L | D | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. F,1,Netherlands,3,2,1,0,10,4,+6,7,D,1 | Netherlands | 3 | 2 | 1 | 0 | 10 | - | 4 | +6 | 7 | D | W | W | D
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. F,2,Japan,3,1,2,0,7,3,+4,5,D,2 | Japan | 3 | 1 | 2 | 0 | 7 | - | 3 | +4 | 5 | D | W | D | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. F,3,Sweden,3,1,1,1,7,7,0,4,W,3 | Sweden | 3 | 1 | 1 | 1 | 7 | - | 7 | 0 | 4 | W | L | D | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. F,4,Tunisia,3,0,0,3,2,12,-10,0,L,4 | Tunisia | 3 | 0 | 0 | 3 | 2 | - | 12 | -10 | 0 | L | L | L
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. G,1,Belgium,3,1,2,0,6,2,+4,5,D,1 | Belgium | 3 | 1 | 2 | 0 | 6 | - | 2 | +4 | 5 | D | D | W | W | W
table,default,https://www.fotmob.com/leagues/77/table/world-cup,Grp. G,2,Egypt,3,1,2,0,5,3,+2,5,D,2 | Egypt | 3 | 1 | 2 | 0 | 5 | - | 3 | +2 | 5 | D | W | D | D | L
