match_id,match_slug,match_url,home_team,away_team,kickoff,final_score,goal_index,minute,minute_base,stoppage_minute,elapsed_minute,scorer,scoring_country,opponent_country,credited_player_country,own_goal,penalty,score_before,score_after,scoring_team_score_before,opponent_score_before,scoring_team_score_after,opponent_score_after,home_score_before,away_score_before,home_score_after,away_score_after,raw_event
4667751,south-africa-vs-mexico,https://www.fotmob.com/matches/south-africa-vs-mexico/1einvt#4667751,Mexico,South Africa,2026-06-11T19:00:00.000Z,2-0,1,9,9,0,9.0,Julián Quiñones,Mexico,South Africa,Mexico,False,False,0-0,1-0,0,0,1,0,0,0,1,0,Julián Quiñones (1 - 0) assist by Érik Lira 9’ 17’ Teboho Mokoena Brian Gutiérrez 23’ +4 minutes added HT 1 - 0 49’ Sphephelo Sithole 56’ Thalente Mbatha Lyle Fost
4667751,south-africa-vs-mexico,https://www.fotmob.com/matches/south-africa-vs-mexico/1einvt#4667751,Mexico,South Africa,2026-06-11T19:00:00.000Z,2-0,2,67,67,0,67.0,Raul Jiménez,Mexico,South Africa,Mexico,False,False,1-0,2-0,1,0,2,0,1,0,2,0,"66’ Raul Jiménez (2 - 0) Header, assist by Roberto Alvarado 67’ 74’ Nkosinathi Sibisi Edson Álvarez Érik Lira 76’ Armando González Raul Jiménez 76’ 76’ Evidence Mak"
4667752,south-korea-vs-czechia,https://www.fotmob.com/matches/south-korea-vs-czechia/273opa#4667752,South Korea,Czechia,2026-06-12T02:00:00.000Z,2-1,1,59,59,0,59.0,Ladislav Krejcí,Czechia,South Korea,Czechia,False,False,0-0,0-1,0,0,1,0,0,0,0,1,"59’ Ladislav Krejcí (0 - 1) Header, assist by Vladimír Coufal Hee-Chan Hwang Jae-Sung Lee 62’ 63’ Adam Hlozek Pavel Sulc 63’ Tomás Chory Patrik Schick 63’ Michal Sadíl"
4667752,south-korea-vs-czechia,https://www.fotmob.com/matches/south-korea-vs-czechia/273opa#4667752,South Korea,Czechia,2026-06-12T02:00:00.000Z,2-1,2,67,67,0,67.0,In-Beom Hwang,South Korea,Czechia,South Korea,False,False,0-1,1-1,0,1,1,1,0,1,1,1,63’ Michal Sadílek Lukás Provod In-Beom Hwang (1 - 1) assist by Kang-In Lee 67’ Ji-Sung Eom Tae-Seok Lee 69’ Hyun-Gyu Oh Heung-Min Son 69’ Hyun-Gyu Oh
4667752,south-korea-vs-czechia,https://www.fotmob.com/matches/south-korea-vs-czechia/273opa#4667752,South Korea,Czechia,2026-06-12T02:00:00.000Z,2-1,3,80,80,0,80.0,Hyun-Gyu Oh,South Korea,Czechia,South Korea,False,False,1-1,2-1,1,1,2,1,1,1,2,1,69’ Hyun-Gyu Oh (2 - 1) assist by In-Beom Hwang 80’ Jin-Gyu Kim In-Beom Hwang 84’ Jin-Seob Park Seung-Ho Paik 84’ 84’ Mojmír Chytil Alexandr Sojka +6 minutes added
4667758,qatar-vs-switzerland,https://www.fotmob.com/matches/qatar-vs-switzerland/1beswv#4667758,Qatar,Switzerland,2026-06-13T19:00:00.000Z,1-1,1,17,17,0,17.0,Breel Embolo,Switzerland,Qatar,Switzerland,False,True,0-0,0-1,0,0,1,0,0,0,0,1,17’ Breel Embolo (0 - 1) Penalty Jassem Gaber 23’ 42’ Denis Zakaria +6 minutes added HT 0 - 1 Ahmed Fathi Ayoub Al Oui 60’ Karim Boudiaf Jassem Gaber 60’ Ahmed Alaa
4667758,qatar-vs-switzerland,https://www.fotmob.com/matches/qatar-vs-switzerland/1beswv#4667758,Qatar,Switzerland,2026-06-13T19:00:00.000Z,1-1,2,90+4,90,4,94.0,Miro Muheim,Qatar,Switzerland,Switzerland,True,False,0-1,1-1,0,1,1,1,0,1,1,1,89’ Ardon Jashari Remo Freuler +6 minutes added Miro Muheim (1 - 1) Own goal 90’ +4
4667757,canada-vs-bosnia-herzegovina,https://www.fotmob.com/matches/canada-vs-bosnia-herzegovina/23f1qo#4667757,Canada,Bosnia and Herzegovina,2026-06-12T19:00:00.000Z,1-1,1,44,44,0,44.0,Jovo Lukic,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,False,False,0-0,0-1,0,0,1,0,0,0,0,1,"21’ Jovo Lukic (0 - 1) Header, assist by Sead Kolasinac 44’ Ermedin Demirovic +4 minutes added 45’ +1 Jovo Lukic HT 0 - 1 Luc De Fougerolles 53’ Jacob Shaffelburg"
4667757,canada-vs-bosnia-herzegovina,https://www.fotmob.com/matches/canada-vs-bosnia-herzegovina/23f1qo#4667757,Canada,Bosnia and Herzegovina,2026-06-12T19:00:00.000Z,1-1,2,78,78,0,78.0,Cyle Larin,Canada,Bosnia and Herzegovina,Canada,False,False,0-1,1-1,0,1,1,1,0,1,1,1,76’ Cyle Larin (1 - 1) assist by Promise David 78’ 83’ Dzenis Burnic Sead Kolasinac +6 minutes added Jonathan Osorio Stephen Eustaquio 90’ +1 90’ +3 Nikola Katic
4667765,haiti-vs-scotland,https://www.fotmob.com/matches/haiti-vs-scotland/1q0g2q#4667765,Haiti,Scotland,2026-06-14T01:00:00.000Z,0-1,1,29,29,0,29.0,John McGinn,Scotland,Haiti,Scotland,False,False,0-0,0-1,0,0,1,0,0,0,0,1,29’ John McGinn (0 - 1) Jean-Ricner Bellegarde 39’ +4 minutes added HT 0 - 1 46’ Aaron Hickey Josué Casimir Don Deedson Louicius 61’ 75’ Ryan Christie Ben Gannon-D
