page,subtab,page_url,stat,rank,name,country_or_team,value,raw_text
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Top scorer,1,Kylian Mbappé,France,8,Kylian Mbappé | France | 8
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Top scorer,2,Lionel Messi,Argentina,8,Lionel Messi | Argentina | 8
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Top scorer,3,Erling Haaland,Norway,7,Erling Haaland | Norway | 7
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Assists,1,Michael Olise,France,5,Michael Olise | France | 5
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Assists,2,Bruno Guimarães,Brazil,4,Bruno Guimarães | Brazil | 4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Assists,3,Brahim Díaz,Morocco,4,Brahim Díaz | Morocco | 4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Goals + Assists,1,Kylian Mbappé,France,11,Kylian Mbappé | France | 11
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Goals + Assists,2,Lionel Messi,Argentina,9,Lionel Messi | Argentina | 9
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Goals + Assists,3,Erling Haaland,Norway,7,Erling Haaland | Norway | 7
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,FotMob rating,1,Kylian Mbappé,France,8.87,Kylian Mbappé | France | 8.87
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,FotMob rating,2,Erling Haaland,Norway,8.71,Erling Haaland | Norway | 8.71
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,FotMob rating,3,Lionel Messi,Argentina,8.69,Lionel Messi | Argentina | 8.69
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Minutes played,1,Achraf Hakimi,Morocco,570,Achraf Hakimi | Morocco | 570
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Minutes played,2,Yassine Bounou,Morocco,570,Yassine Bounou | Morocco | 570
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Minutes played,3,Neil El Aynaoui,Morocco,563,Neil El Aynaoui | Morocco | 563
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Goals per 90,1,Deniz Undav,Germany,1.81,Deniz Undav | Germany | 1.81
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Goals per 90,2,Lionel Messi,Argentina,1.76,Lionel Messi | Argentina | 1.76
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Goals per 90,3,Erling Haaland,Norway,1.75,Erling Haaland | Norway | 1.75
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected goals (xG),1,Kylian Mbappé,France,5.4,Kylian Mbappé | France | 5.4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected goals (xG),2,Lionel Messi,Argentina,5.0,Lionel Messi | Argentina | 5.0
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected goals (xG),3,Erling Haaland,Norway,4.3,Erling Haaland | Norway | 4.3
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,xG per 90,1,Marko Arnautovic,Austria,1.19,Marko Arnautovic | Austria | 1.19
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,xG per 90,2,Lionel Messi,Argentina,1.10,Lionel Messi | Argentina | 1.10
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,xG per 90,3,Erling Haaland,Norway,1.08,Erling Haaland | Norway | 1.08
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected goals on target (xGOT),1,Kylian Mbappé,France,7.1,Kylian Mbappé | France | 7.1
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected goals on target (xGOT),2,Lionel Messi,Argentina,5.6,Lionel Messi | Argentina | 5.6
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected goals on target (xGOT),3,Erling Haaland,Norway,5.4,Erling Haaland | Norway | 5.4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Shots on target per 90,1,Lionel Messi,Argentina,3.7,Lionel Messi | Argentina | 3.7
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Shots on target per 90,2,Kylian Mbappé,France,3.3,Kylian Mbappé | France | 3.3
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Shots on target per 90,3,Erling Haaland,Norway,3.0,Erling Haaland | Norway | 3.0
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Shots per 90,1,Lionel Messi,Argentina,6.4,Lionel Messi | Argentina | 6.4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Shots per 90,2,Kenan Yildiz,Turkey,5.8,Kenan Yildiz | Turkey | 5.8
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Shots per 90,3,Kevin De Bruyne,Belgium,5.4,Kevin De Bruyne | Belgium | 5.4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Accurate passes per 90,1,Leandro Paredes,Argentina,126.6,Leandro Paredes | Argentina | 126.6
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Accurate passes per 90,2,Rodri,Spain,100.5,Rodri | Spain | 100.5
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Accurate passes per 90,3,Aïssa Mandi,Algeria,90.8,Aïssa Mandi | Algeria | 90.8
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Big chances created,1,Lionel Messi,Argentina,6,Lionel Messi | Argentina | 6
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Big chances created,2,Michael Olise,France,5,Michael Olise | France | 5
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Big chances created,3,Roberto Alvarado,Mexico,4,Roberto Alvarado | Mexico | 4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Chances created,1,Leandro Trossard,Belgium,17,Leandro Trossard | Belgium | 17
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Chances created,2,Achraf Hakimi,Morocco,17,Achraf Hakimi | Morocco | 17
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Chances created,3,Mohamed Salah,Egypt,16,Mohamed Salah | Egypt | 16
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Accurate long balls per 90,1,Juan Quintero,Colombia,14.6,Juan Quintero | Colombia | 14.6
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Accurate long balls per 90,2,Andrés Andrade,Panama,7.7,Andrés Andrade | Panama | 7.7
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Accurate long balls per 90,3,Pathé Ciss,Senegal,6.5,Pathé Ciss | Senegal | 6.5
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected assists (xA),1,Lionel Messi,Argentina,2.6,Lionel Messi | Argentina | 2.6
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected assists (xA),2,Michael Olise,France,2.4,Michael Olise | France | 2.4
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,Expected assists (xA),3,Leandro Trossard,Belgium,2.2,Leandro Trossard | Belgium | 2.2
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,xA per 90,1,Juan Quintero,Colombia,0.66,Juan Quintero | Colombia | 0.66
player_stats,default,https://www.fotmob.com/leagues/77/stats/world-cup/players,xA per 90,2,Francisco Conceição,Portugal,0.59,Francisco Conceição | Portugal | 0.59
