team,fifa_version,gk,def,mid,att,top11_overall,squad_overall,star_power,depth,value_log,avg_age_top11,n_players
Argentina,23,84.0,81.75,81.66666666666667,87.0,83.36363636363636,83.36363636363636,87.33333333333333,83.36363636363636,19.853381480273047,28.727272727272727,11
France,23,87.0,82.25,86.66666666666667,88.33333333333333,85.54545454545455,85.54545454545455,90.33333333333333,85.54545454545455,20.28785685401077,28.454545454545453,11
Poland,23,86.0,74.75,77.25,91.0,77.81818181818181,77.81818181818181,86.66666666666667,77.81818181818181,19.19816907754165,28.454545454545453,11
Belgium,23,90.0,79.5,84.75,85.0,83.36363636363636,83.36363636363636,89.0,83.36363636363636,19.932505829724537,29.818181818181817,11
Portugal,23,82.0,84.75,84.25,87.5,84.81818181818181,84.81818181818181,88.66666666666667,84.81818181818181,20.180433418766206,29.363636363636363,11
Germany,23,90.0,82.25,86.25,82.0,84.27272727272727,84.27272727272727,88.66666666666667,84.27272727272727,20.05967746056976,28.272727272727273,11
Netherlands,23,79.0,84.25,82.66666666666667,82.5,82.45454545454545,82.45454545454545,87.33333333333333,82.45454545454545,20.0390783997401,27.0,11
England,23,82.0,82.75,83.0,86.66666666666667,83.81818181818181,83.81818181818181,86.66666666666667,83.81818181818181,20.192237507563583,26.454545454545453,11
Croatia,23,80.0,78.25,85.5,82.0,81.63636363636364,81.63636363636364,86.0,81.63636363636364,19.40088480532252,29.272727272727273,11
Italy,23,88.0,83.0,86.0,84.66666666666667,84.72727272727273,84.72727272727273,87.0,84.72727272727273,20.21991222967338,28.09090909090909,11
Norway,23,69.0,74.5,77.25,82.0,76.36363636363636,76.36363636363636,82.66666666666667,76.36363636363636,19.43952806776172,24.818181818181817,11
Spain,23,83.0,82.75,84.33333333333333,82.0,83.0,83.0,85.33333333333333,83.0,19.989296663949546,26.818181818181817,11
Scotland,23,74.0,77.0,77.0,73.0,76.0,76.0,82.66666666666667,76.0,19.016628466645578,26.818181818181817,11
Austria,23,72.0,78.5,80.25,82.0,78.54545454545455,78.54545454545455,83.66666666666667,78.54545454545455,19.15688741876203,27.272727272727273,11
Hungary,23,85.0,74.25,74.25,70.0,74.27272727272727,74.27272727272727,82.0,74.27272727272727,18.588522987936358,27.727272727272727,11
Czech Republic,23,80.0,74.0,77.75,79.0,76.81818181818181,76.81818181818181,80.66666666666667,76.81818181818181,18.699069777062576,26.181818181818183,11
Morocco,23,84.0,78.75,73.66666666666667,78.66666666666667,77.81818181818181,77.81818181818181,82.66666666666667,77.81818181818181,19.067783991246507,26.636363636363637,11
Ghana,23,70.0,74.25,80.0,75.0,74.72727272727273,74.72727272727273,79.0,74.72727272727273,18.378295037888897,27.454545454545453,11
Canada,23,77.0,74.0,72.5,79.0,73.72727272727273,73.72727272727273,80.0,73.72727272727273,18.531551061734337,28.181818181818183,11
Denmark,23,83.0,78.75,81.25,77.0,79.63636363636364,79.63636363636364,82.66666666666667,79.63636363636364,19.124767869496242,28.454545454545453,11
Finland,23,83.0,68.75,73.0,74.0,71.9090909090909,71.9090909090909,77.66666666666667,71.9090909090909,17.61771871970664,28.272727272727273,11
Brazil,23,82.0,81.25,81.0,81.0,81.0909090909091,81.0909090909091,82.33333333333333,81.0909090909091,19.43952806776172,26.727272727272727,11
Sweden,23,75.0,76.25,76.0,80.5,76.81818181818181,76.81818181818181,80.66666666666667,76.81818181818181,18.828143861376564,27.727272727272727,11
Mexico,23,80.0,76.0,79.0,81.33333333333333,78.63636363636364,78.63636363636364,81.33333333333333,78.63636363636364,18.65179247285226,29.363636363636363,11
United States,23,77.0,73.25,75.75,75.5,74.9090909090909,74.9090909090909,79.66666666666667,74.9090909090909,18.757867018444994,23.545454545454547,11
Ukraine,23,75.0,75.0,76.5,79.0,76.27272727272727,76.27272727272727,80.33333333333333,76.27272727272727,18.696796187619935,27.09090909090909,11
Wales,23,75.0,74.25,75.5,81.0,75.0909090909091,75.0909090909091,79.0,75.0909090909091,18.35774095482812,26.727272727272727,11
Northern Ireland,23,67.0,74.0,72.66666666666667,66.0,70.81818181818181,70.81818181818181,75.66666666666667,70.81818181818181,17.05712590890265,29.454545454545453,11
Australia,23,78.0,70.75,72.25,73.0,72.36363636363636,72.36363636363636,76.33333333333333,72.36363636363636,17.365127973480334,28.90909090909091,11
Republic of Ireland,23,70.0,74.75,71.0,68.0,71.54545454545455,71.54545454545455,75.33333333333333,71.54545454545455,17.55970647640356,25.363636363636363,11
New Zealand,23,69.0,69.5,66.0,76.0,68.27272727272727,68.27272727272727,73.33333333333333,68.27272727272727,17.016222452938,24.727272727272727,11
Qatar,23,68.0,69.5,71.5,73.33333333333333,70.45454545454545,70.45454545454545,73.33333333333333,70.45454545454545,0.0,28.454545454545453,11
Romania,23,76.0,68.0,72.75,70.0,70.81818181818181,70.81818181818181,74.66666666666667,70.81818181818181,17.049275034735093,28.454545454545453,11
Iceland,23,70.0,67.75,66.33333333333333,66.66666666666667,67.27272727272727,67.27272727272727,71.0,67.27272727272727,16.773021670646116,25.181818181818183,11
China PR,23,73.0,67.75,68.75,68.0,68.63636363636364,68.63636363636364,71.33333333333333,68.63636363636364,16.176364653421913,30.818181818181817,11
Argentina,22,84.0,80.75,81.33333333333333,88.33333333333333,83.27272727272727,83.27272727272727,88.33333333333333,83.27272727272727,19.91246061516795,27.727272727272727,11
Poland,22,87.0,72.5,76.25,86.5,77.72727272727273,77.72727272727273,86.66666666666667,77.72727272727273,19.318400094316065,28.181818181818183,11
Portugal,22,82.0,84.75,83.75,86.5,84.45454545454545,84.45454545454545,88.66666666666667,84.45454545454545,20.17074978786383,28.454545454545453,11
Belgium,22,89.0,80.25,85.66666666666667,85.66666666666667,84.0,84.0,89.33333333333333,84.0,20.044021563527846,29.454545454545453,11
France,22,87.0,82.75,86.0,88.33333333333333,85.54545454545455,85.54545454545455,90.0,85.54545454545455,20.38919072632157,27.818181818181817,11
Germany,22,90.0,84.33333333333333,87.0,84.0,85.63636363636364,85.63636363636364,88.66666666666667,85.63636363636364,20.282432586554457,28.0,11
England,22,83.0,84.0,82.5,89.0,84.27272727272727,84.27272727272727,87.66666666666667,84.27272727272727,20.322041724589152,25.545454545454547,11
Netherlands,22,81.0,85.25,84.33333333333333,84.0,84.0909090909091,84.0909090909091,87.0,84.0909090909091,20.150564811235384,27.818181818181817,11
Italy,22,89.0,83.5,85.33333333333333,85.33333333333333,85.0,85.0,87.66666666666667,85.0,20.19308748636384,28.363636363636363,11
Spain,22,82.0,83.0,84.75,84.0,83.54545454545455,83.54545454545455,86.0,83.54545454545455,20.215768004934226,25.545454545454547,11
Norway,22,76.0,74.75,77.25,82.0,77.0909090909091,77.0909090909091,82.66666666666667,77.0909090909091,19.32216236423249,25.818181818181817,11
Scotland,22,70.0,77.75,77.66666666666667,72.5,75.0909090909091,75.0909090909091,82.33333333333333,75.0909090909091,19.03629872740614,27.09090909090909,11
Denmark,22,85.0,80.0,80.75,78.0,80.36363636363636,80.36363636363636,83.66666666666667,80.36363636363636,19.31880750927217,27.545454545454547,11
Hungary,22,85.0,74.5,73.0,71.0,74.0,74.0,80.66666666666667,74.0,18.202524746587006,27.363636363636363,11
Sweden,22,76.0,75.5,77.0,81.5,77.18181818181819,77.18181818181819,81.33333333333333,77.18181818181819,19.018417745208204,27.181818181818183,11
Austria,22,74.0,79.25,80.0,76.5,78.54545454545455,78.54545454545455,83.0,78.54545454545455,19.135589421186193,28.454545454545453,11
Finland,22,83.0,68.75,71.66666666666667,74.5,71.63636363636364,71.63636363636364,78.0,71.63636363636364,17.651192351722315,29.545454545454547,11
Mexico,22,80.0,76.5,79.25,82.0,78.81818181818181,78.81818181818181,82.0,78.81818181818181,18.976288516227484,29.181818181818183,11
Brazil,22,82.0,81.25,81.0,79.0,80.72727272727273,80.72727272727273,82.33333333333333,80.72727272727273,19.3309534075251,26.454545454545453,11
Wales,22,74.0,74.5,77.25,74.0,74.63636363636364,74.63636363636364,80.33333333333333,74.63636363636364,18.457012682842958,26.727272727272727,11
Russia,22,76.0,76.75,76.25,78.0,76.0909090909091,76.0909090909091,79.66666666666667,76.0909090909091,18.04525977174862,30.09090909090909,11
United States,22,77.0,75.25,75.5,77.5,75.9090909090909,75.9090909090909,79.0,75.9090909090909,18.93110629369942,24.181818181818183,11
Canada,22,76.0,72.75,73.66666666666667,75.5,73.0909090909091,73.0909090909091,78.66666666666667,73.0909090909091,18.431620693881896,27.818181818181817,11
Czech Republic,22,81.0,76.0,77.25,78.5,77.36363636363636,77.36363636363636,81.0,77.36363636363636,18.811370573244275,28.0,11
Ukraine,22,75.0,75.25,75.0,79.0,75.81818181818181,75.81818181818181,79.33333333333333,75.81818181818181,18.69299534688917,25.545454545454547,11
Greece,22,81.0,73.25,75.0,73.0,74.27272727272727,74.27272727272727,78.0,74.27272727272727,18.13032845631369,26.454545454545453,11
Northern Ireland,22,72.0,74.25,70.5,69.0,71.45454545454545,71.45454545454545,77.0,71.45454545454545,17.43114707721029,28.454545454545453,11
Iceland,22,64.0,70.0,73.25,68.0,70.18181818181819,70.18181818181819,76.33333333333333,70.18181818181819,17.356469910987094,30.545454545454547,11
New Zealand,22,65.0,68.5,68.66666666666667,70.66666666666667,68.81818181818181,68.81818181818181,75.0,68.81818181818181,17.357918137121512,24.90909090909091,11
China PR,22,73.0,68.75,67.33333333333333,77.0,71.0,71.0,77.0,71.0,17.444507329019633,31.09090909090909,11
Republic of Ireland,22,75.0,74.75,72.0,67.0,72.54545454545455,72.54545454545455,76.0,72.54545454545455,17.464218873413657,28.272727272727273,11
Romania,22,68.0,71.0,73.0,71.66666666666667,71.45454545454545,71.45454545454545,74.0,71.45454545454545,17.370858648025116,26.0,11
Australia,22,77.0,71.75,71.5,73.5,72.45454545454545,72.45454545454545,76.66666666666667,72.45454545454545,17.468762860341794,28.727272727272727,11
Argentina,21,81.0,81.0,80.5,90.0,83.0909090909091,83.0909090909091,90.0,83.0909090909091,20.055786405084362,28.09090909090909,11
Portugal,21,84.0,82.33333333333333,83.25,86.66666666666667,84.0,84.0,88.66666666666667,84.0,20.115562140040144,27.727272727272727,11
Poland,21,87.0,76.0,76.5,91.0,77.27272727272727,77.27272727272727,86.0,77.27272727272727,19.303207849811074,27.636363636363637,11
Belgium,21,89.0,82.0,86.0,86.0,84.81818181818181,84.81818181818181,89.33333333333333,84.81818181818181,20.154104637934243,29.181818181818183,11
Slovenia,21,91.0,71.0,74.66666666666667,75.66666666666667,75.0909090909091,75.0909090909091,84.33333333333333,75.0909090909091,19.063586713333187,28.272727272727273,11
Germany,21,89.0,81.25,86.5,85.0,84.0,84.0,88.33333333333333,84.0,20.16726849627738,26.363636363636363,11
Netherlands,21,81.0,83.75,83.75,85.0,83.36363636363636,83.36363636363636,86.66666666666667,83.36363636363636,20.085553365166714,27.09090909090909,11
Egypt,21,73.0,70.0,74.0,82.5,74.0,74.0,80.66666666666667,74.0,18.740587970961048,29.454545454545453,11
France,21,87.0,83.5,85.66666666666667,85.33333333333333,84.9090909090909,84.9090909090909,88.33333333333333,84.9090909090909,20.360141570765585,27.727272727272727,11
Spain,21,82.0,85.25,84.33333333333333,83.0,84.0909090909091,84.0909090909091,87.33333333333333,84.0909090909091,20.038086828019768,27.454545454545453,11
England,21,81.0,82.5,82.5,88.0,83.36363636363636,83.36363636363636,87.66666666666667,83.36363636363636,20.351477256647957,24.636363636363637,11
Italy,21,85.0,82.0,82.25,86.0,83.0909090909091,83.0909090909091,86.0,83.0909090909091,20.030118658386467,27.545454545454547,11
Scotland,21,72.0,73.25,77.75,68.0,74.54545454545455,74.54545454545455,81.66666666666667,74.54545454545455,18.842347237958066,26.727272727272727,11
Switzerland,21,86.0,78.25,81.33333333333333,73.5,78.9090909090909,78.9090909090909,83.33333333333333,78.9090909090909,19.26224793394093,26.09090909090909,11
Hungary,21,85.0,72.75,73.75,71.0,73.81818181818181,73.81818181818181,80.0,73.81818181818181,18.151493267225753,27.727272727272727,11
Denmark,21,84.0,77.33333333333333,80.25,77.66666666666667,79.0909090909091,79.0909090909091,83.33333333333333,79.0909090909091,19.188935401637334,27.636363636363637,11
Mexico,21,79.0,76.66666666666667,79.75,82.0,78.9090909090909,78.9090909090909,83.0,78.9090909090909,19.08078807560207,28.454545454545453,11
Austria,21,74.0,79.75,80.25,82.0,79.18181818181819,79.18181818181819,83.0,79.18181818181819,19.2652606325699,28.0,11
Cameroon,21,84.0,72.0,74.0,74.0,74.18181818181819,74.18181818181819,79.0,74.18181818181819,18.439502508006495,26.818181818181817,11
Norway,21,77.0,73.75,77.75,84.0,76.27272727272727,76.27272727272727,82.0,76.27272727272727,19.157844814713773,25.727272727272727,11
Wales,21,75.0,73.25,76.75,76.0,75.18181818181819,75.18181818181819,81.66666666666667,75.18181818181819,18.721525810332352,26.454545454545453,11
Chile,21,77.0,74.66666666666667,79.75,76.5,76.63636363636364,76.63636363636364,82.0,76.63636363636364,18.379858759848776,30.272727272727273,11
Finland,21,83.0,68.75,69.0,76.0,70.72727272727273,70.72727272727273,77.66666666666667,70.72727272727273,17.653887044752647,28.545454545454547,11
Côte d'Ivoire,21,69.0,73.75,79.5,77.0,75.81818181818181,75.81818181818181,81.66666666666667,75.81818181818181,18.793622667242023,27.363636363636363,11
Colombia,21,79.0,80.5,79.25,80.0,79.63636363636364,79.63636363636364,81.33333333333333,79.63636363636364,19.108815387713893,28.09090909090909,11
Brazil,21,82.0,81.0,80.75,81.0,80.72727272727273,80.72727272727273,82.33333333333333,80.72727272727273,19.26654901582182,25.09090909090909,11
Russia,21,78.0,77.25,76.0,79.0,76.54545454545455,76.54545454545455,80.0,76.54545454545455,18.191267592203175,29.545454545454547,11
Czech Republic,21,82.0,75.0,76.75,78.0,76.45454545454545,76.45454545454545,80.33333333333333,76.45454545454545,18.74348862562065,26.90909090909091,11
Republic of Ireland,21,75.0,78.0,74.33333333333333,72.33333333333333,75.18181818181819,75.18181818181819,78.33333333333333,75.18181818181819,18.059710890077955,28.90909090909091,11
Greece,21,73.0,72.5,73.25,70.0,72.54545454545455,72.54545454545455,74.66666666666667,72.54545454545455,17.484187330270895,26.181818181818183,11
United States,21,76.0,74.5,73.75,77.5,74.9090909090909,74.9090909090909,77.66666666666667,74.9090909090909,18.622804936212436,24.09090909090909,11
Canada,21,75.0,70.25,72.25,75.0,72.27272727272727,72.27272727272727,78.0,72.27272727272727,18.33947069937281,26.181818181818183,11
Northern Ireland,21,69.0,75.25,70.5,66.0,71.27272727272727,71.27272727272727,76.0,71.27272727272727,17.508133023263646,27.727272727272727,11
Australia,21,80.0,70.75,71.25,71.0,71.81818181818181,71.81818181818181,76.33333333333333,71.81818181818181,17.356469910987094,27.363636363636363,11
Turkey,21,77.0,75.5,74.33333333333333,77.33333333333333,75.81818181818181,75.81818181818181,79.0,75.81818181818181,18.5827996019322,26.727272727272727,11
Uruguay,21,80.0,79.75,79.75,79.0,79.63636363636364,79.63636363636364,80.0,79.63636363636364,0.0,30.90909090909091,11
Ecuador,21,74.0,75.25,72.0,77.5,74.36363636363636,74.36363636363636,77.66666666666667,74.36363636363636,0.0,33.54545454545455,11
Iceland,21,66.0,69.33333333333333,74.75,72.5,71.45454545454545,71.45454545454545,77.33333333333333,71.45454545454545,17.545412010596333,31.636363636363637,11
China PR,21,73.0,67.0,69.33333333333333,73.66666666666667,70.0,70.0,76.66666666666667,70.0,17.56324839265557,29.363636363636363,11
Peru,21,73.0,73.25,73.5,76.0,73.27272727272727,73.27272727272727,76.33333333333333,73.27272727272727,17.725531580761828,27.727272727272727,11
Sweden,21,78.0,73.5,74.25,76.0,74.63636363636364,74.63636363636364,76.66666666666667,74.63636363636364,17.536978225869788,29.09090909090909,11
