fifa_version,fifa_update_date,nationality_name,short_name,long_name,player_positions,nation_position,overall,potential,value_eur,age
23,2022-09-01,Argentina,L. Messi,Lionel Andrés Messi Cuccittini,RW,RW,91,91,54000000.0,35
23,2022-09-01,France,K. Benzema,Karim Benzema,"CF, ST",RS,91,91,64000000.0,34
23,2022-09-01,Poland,R. Lewandowski,Robert Lewandowski,ST,ST,91,91,84000000.0,33
23,2022-09-01,Belgium,K. De Bruyne,Kevin De Bruyne,"CM, CAM",RF,91,91,107500000.0,31
23,2022-09-01,France,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",LS,91,95,190500000.0,23
23,2022-09-01,Portugal,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,ST,90,90,41000000.0,37
23,2022-09-01,Germany,M. Neuer,Manuel Peter Neuer,GK,GK,90,90,13500000.0,36
23,2022-09-01,Belgium,T. Courtois,Thibaut Nicolas Marc Courtois,GK,GK,90,91,90000000.0,30
23,2022-09-01,Netherlands,V. van Dijk,Virgil van Dijk,CB,CB,90,90,98000000.0,30
23,2022-09-01,England,H. Kane,Harry Kane,ST,ST,89,89,105500000.0,28
23,2022-09-01,Germany,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",LDM,89,90,105500000.0,27
23,2022-09-01,France,N. Kanté,N'Golo Kanté,"CDM, CM",RDM,89,89,72000000.0,31
23,2022-09-01,Croatia,L. Modrić,Luka Modrić,CM,RCM,88,88,29000000.0,36
23,2022-09-01,Germany,M. ter Stegen,Marc-André ter Stegen,GK,SUB,88,89,68500000.0,30
23,2022-09-01,Portugal,João Cancelo,João Pedro Cavaco Cancelo,"LB, RB",RB,88,88,82500000.0,28
23,2022-09-01,Portugal,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM",RCM,88,88,97500000.0,27
23,2022-09-01,Italy,G. Donnarumma,Gianluigi Donnarumma,GK,GK,88,92,103500000.0,23
23,2022-09-01,Norway,E. Haaland,Erling Braut Haaland,ST,ST,88,94,148000000.0,21
23,2022-09-01,Portugal,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,LCB,88,91,107500000.0,25
23,2022-09-01,France,H. Lloris,Hugo Lloris,GK,GK,87,87,9000000.0,35
23,2022-09-01,Germany,T. Müller,Thomas Müller,"CAM, CF",CAM,87,87,63000000.0,32
23,2022-09-01,Spain,De Gea,David De Gea Quintana,GK,SUB,87,87,42000000.0,31
23,2022-09-01,Italy,M. Verratti,Marco Verratti,"CM, CAM",LCM,87,87,77500000.0,29
23,2022-09-01,Germany,A. Rüdiger,Antonio Rüdiger,CB,LCB,87,88,73500000.0,29
23,2022-09-01,Germany,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",SUB,87,88,91000000.0,27
23,2022-09-01,France,M. Maignan,Mike Maignan,GK,SUB,87,90,80000000.0,26
23,2022-09-01,Scotland,A. Robertson,Andrew Robertson,LB,LWB,87,87,72000000.0,28
23,2022-09-01,Netherlands,F. de Jong,Frenkie de Jong,CM,CDM,87,92,116500000.0,25
23,2022-09-01,Spain,Rodri,Rodrigo Hernández Cascante,CDM,SUB,87,89,88500000.0,26
23,2022-09-01,Poland,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,GK,86,86,33500000.0,32
23,2022-09-01,Germany,K. Trapp,Kevin Trapp,GK,SUB,86,86,36000000.0,31
23,2022-09-01,Italy,C. Immobile,Ciro Immobile,ST,ST,86,86,55000000.0,32
23,2022-09-01,Belgium,R. Lukaku,Romelu Lukaku Menama,ST,ST,86,86,68000000.0,29
23,2022-09-01,Austria,D. Alaba,David Olatukunbo Alaba,CB,LB,86,86,55500000.0,30
23,2022-09-01,England,R. Sterling,Raheem Sterling,"LW, RW",LW,86,86,72500000.0,27
23,2022-09-01,Argentina,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",SUB,86,86,69500000.0,28
23,2022-09-01,Portugal,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",LCM,86,87,78500000.0,27
23,2022-09-01,Spain,A. Laporte,Aymeric Laporte,CB,LCB,86,87,64500000.0,28
23,2022-09-01,France,K. Coman,Kingsley Junior Coman,LM,RM,86,87,80000000.0,26
23,2022-09-01,Croatia,M. Brozović,Marcelo Brozović,"CDM, CM",CDM,86,86,58000000.0,29
23,2022-09-01,Italy,N. Barella,Nicolò Barella,CM,RCM,86,89,89500000.0,25
23,2022-09-01,Argentina,L. Martínez,Lautaro Javier Martínez,ST,ST,86,90,98500000.0,24
23,2022-09-01,France,C. Nkunku,Christopher Nkunku,"CF, CAM, ST",SUB,86,89,94000000.0,24
23,2022-09-01,Hungary,P. Gulácsi,Péter Gulácsi,GK,GK,85,85,26500000.0,32
23,2022-09-01,Germany,İ. Gündoğan,İlkay Gündoğan,"CM, CDM",RDM,85,85,44000000.0,31
23,2022-09-01,Germany,M. Reus,Marco Reus,"CAM, CF, RM",SUB,85,85,33500000.0,33
23,2022-09-01,England,K. Walker,Kyle Walker,RB,RB,85,85,37500000.0,32
23,2022-09-01,Spain,Jordi Alba,Jordi Alba Ramos,LB,LB,85,85,28000000.0,33
23,2022-09-01,Spain,Sergio Busquets,Sergio Busquets i Burgos,CDM,CDM,85,85,26500000.0,33
23,2022-09-01,France,P. Pogba,Paul Pogba,"CM, CDM, LM",LDM,85,85,52500000.0,29
23,2022-09-01,Netherlands,M. Depay,Memphis Depay,"CF, ST, LW",LS,85,85,55000000.0,28
23,2022-09-01,Italy,Jorginho,Luiz Frello Filho Jorge,CM,CM,85,85,51500000.0,30
23,2022-09-01,Germany,S. Gnabry,Serge David Gnabry,RM,SUB,85,85,59000000.0,26
23,2022-09-01,Spain,Gerard Moreno,Gerard Moreno Balagueró,ST,SUB,85,85,53000000.0,30
23,2022-09-01,Belgium,Y. Carrasco,Yannick Ferreira Carrasco,LM,LM,85,85,54500000.0,28
23,2022-09-01,Germany,N. Süle,Niklas Süle,"CB, RB",RCB,85,87,59000000.0,26
23,2022-09-01,Argentina,M. Acuña,Marcos Javier Acuña,LB,LB,85,85,46500000.0,30
23,2022-09-01,Portugal,Diogo Jota,Diogo José Teixeira da Silva,"CF, LW",LW,85,89,76000000.0,25
