team,fifa_version,gk,def,mid,att,top11_overall,squad_overall,star_power,depth,value_log,avg_age_top11,n_players
Argentina,23,84.0,82.5,82.5,87.66666666666667,84.63636363636364,82.08695652173913,87.66666666666667,79.75,20.43811389567822,29.09090909090909,23
France,23,87.0,84.25,85.5,89.33333333333333,86.81818181818181,84.04347826086956,90.33333333333333,81.5,20.916362467732725,27.363636363636363,23
Poland,23,86.0,76.0,77.75,81.66666666666667,79.54545454545455,76.1304347826087,86.66666666666667,73.0,19.5315509333087,28.181818181818183,23
Belgium,23,90.0,79.75,85.0,84.66666666666667,84.63636363636364,81.17391304347827,89.0,78.0,20.271652074383113,30.545454545454547,23
Portugal,23,82.0,84.75,84.75,86.33333333333333,85.45454545454545,83.0,88.66666666666667,80.75,20.72316583294618,26.545454545454547,23
Germany,23,90.0,84.0,87.0,80.0,86.72727272727273,83.78260869565217,89.0,81.08333333333333,20.819938725114525,29.818181818181817,23
Netherlands,23,80.0,85.25,82.25,82.66666666666667,83.45454545454545,81.1304347826087,87.33333333333333,79.0,20.53186317262721,25.727272727272727,23
England,23,82.0,84.0,83.75,86.66666666666667,84.81818181818181,83.04347826086956,86.66666666666667,81.41666666666667,20.819030459839468,25.0,23
Croatia,23,80.0,79.0,85.5,79.33333333333333,82.18181818181819,78.91304347826087,86.0,75.91666666666667,19.920973211356316,28.09090909090909,23
Italy,23,88.0,83.0,85.5,84.66666666666667,85.0909090909091,82.56521739130434,87.0,80.25,20.614566421137898,27.727272727272727,23
Norway,23,72.0,74.5,78.25,79.66666666666667,77.45454545454545,74.56521739130434,83.33333333333333,71.91666666666667,19.61369371107502,25.09090909090909,23
Spain,23,87.0,84.75,85.25,83.66666666666667,85.0909090909091,83.04347826086956,86.66666666666667,81.16666666666667,20.681401633890466,28.90909090909091,23
Scotland,23,74.0,79.75,78.0,73.33333333333333,77.81818181818181,74.34782608695652,82.66666666666667,71.16666666666667,19.30061865050881,26.181818181818183,23
Austria,23,75.0,78.5,80.25,78.33333333333333,79.0909090909091,76.04347826086956,83.66666666666667,73.25,19.434188930171313,26.545454545454547,23
Hungary,23,85.0,74.25,74.75,70.0,75.45454545454545,71.34782608695652,82.0,67.58333333333333,18.713909910291775,27.181818181818183,23
Czech Republic,23,80.0,75.5,77.75,81.0,78.63636363636364,76.08695652173913,82.33333333333333,73.75,19.377729472138935,27.272727272727273,23
Morocco,23,84.0,79.0,74.5,78.66666666666667,78.27272727272727,74.65217391304348,82.66666666666667,71.33333333333333,19.22088700129808,27.454545454545453,23
Ghana,23,74.0,74.25,77.5,75.0,75.81818181818181,72.78260869565217,79.0,70.0,18.666368267523136,26.363636363636363,23
Canada,23,77.0,74.0,73.5,75.0,75.0909090909091,71.95652173913044,80.0,69.08333333333333,18.76674964917851,27.181818181818183,23
Denmark,23,83.0,79.5,81.25,76.66666666666667,80.0,77.52173913043478,82.66666666666667,75.25,19.535166385057604,28.636363636363637,23
Finland,23,83.0,68.75,71.25,72.0,72.54545454545455,68.6086956521739,77.66666666666667,65.0,17.851077767159527,27.90909090909091,23
Brazil,23,82.0,81.25,81.25,80.33333333333333,81.27272727272727,80.08695652173913,82.33333333333333,79.0,19.97882536410418,26.363636363636363,23
Sweden,23,75.0,76.25,76.75,81.0,78.18181818181819,75.26086956521739,81.33333333333333,72.58333333333333,19.160472937107485,28.09090909090909,23
Mexico,23,80.0,76.0,78.25,81.33333333333333,79.0909090909091,77.1304347826087,81.33333333333333,75.33333333333333,18.893804506764873,29.727272727272727,23
United States,23,77.0,75.25,77.0,76.66666666666667,76.81818181818181,74.65217391304348,79.66666666666667,72.66666666666667,19.306512272465522,24.0,23
Ukraine,23,75.0,75.75,77.5,76.66666666666667,77.0909090909091,74.30434782608695,80.33333333333333,71.75,19.177272101761478,26.90909090909091,23
Wales,23,75.0,74.25,75.5,76.33333333333333,75.81818181818181,72.26086956521739,79.0,69.0,18.685733706015437,26.727272727272727,23
Northern Ireland,23,67.0,74.0,71.25,66.33333333333333,71.36363636363636,68.43478260869566,75.66666666666667,65.75,17.48724387867559,27.90909090909091,23
Australia,23,78.0,70.75,73.5,72.0,73.0,70.3913043478261,76.33333333333333,68.0,17.851696223677568,28.272727272727273,23
Republic of Ireland,23,73.0,75.5,72.5,69.0,74.0,71.6086956521739,76.0,69.41666666666667,18.197224656303764,27.363636363636363,23
New Zealand,23,69.0,70.5,68.75,70.0,70.36363636363636,66.47826086956522,73.33333333333333,62.916666666666664,17.213703464039764,28.0,23
Qatar,23,68.0,69.5,69.5,73.33333333333333,70.72727272727273,67.82608695652173,73.33333333333333,65.16666666666667,0.0,28.0,23
Romania,23,76.0,70.25,73.0,71.0,72.81818181818181,70.30434782608695,75.0,68.0,17.827831302799144,26.09090909090909,23
Iceland,23,70.0,68.5,71.5,68.0,70.0909090909091,67.56521739130434,72.33333333333333,65.25,17.44715809259561,25.727272727272727,23
China PR,23,73.0,69.75,68.75,65.0,69.81818181818181,66.82608695652173,71.66666666666667,64.08333333333333,16.79307891180709,32.0,23
Argentina,22,84.0,82.25,82.25,89.0,84.9090909090909,81.78260869565217,89.0,78.91666666666667,20.403198305727695,28.818181818181817,23
Poland,22,87.0,74.75,77.25,82.0,79.0909090909091,74.69565217391305,86.66666666666667,70.66666666666667,19.474295670176488,28.90909090909091,23
Portugal,22,82.0,84.75,84.5,86.0,85.0,82.95652173913044,88.66666666666667,81.08333333333333,20.724365233388614,25.90909090909091,23
Belgium,22,89.0,80.75,85.5,85.66666666666667,84.9090909090909,81.0,89.33333333333333,77.41666666666667,20.338338381525304,29.818181818181817,23
France,22,87.0,84.0,86.5,88.33333333333333,86.63636363636364,83.56521739130434,90.0,80.75,20.82843633545212,28.363636363636363,23
Germany,22,90.0,83.75,87.0,83.5,85.9090909090909,83.34782608695652,88.66666666666667,81.0,20.76248655106123,27.636363636363637,23
England,22,83.0,85.0,85.0,87.33333333333333,85.63636363636364,83.04347826086956,88.33333333333333,80.66666666666667,20.965819782565067,25.363636363636363,23
Netherlands,22,81.0,85.25,83.5,83.0,84.0909090909091,81.43478260869566,87.0,79.0,20.53258947697977,27.09090909090909,23
Italy,22,89.0,84.25,84.5,85.33333333333333,85.27272727272727,82.65217391304348,87.66666666666667,80.25,20.621233112488678,28.90909090909091,23
Spain,22,84.0,85.75,86.0,84.66666666666667,85.81818181818181,83.26086956521739,86.66666666666667,80.91666666666667,20.82717530123823,29.0,23
Norway,22,76.0,75.75,78.0,79.66666666666667,77.81818181818181,74.95652173913044,82.66666666666667,72.33333333333333,19.55827333546726,25.09090909090909,23
Scotland,22,70.0,79.25,77.5,72.0,77.54545454545455,73.3913043478261,82.33333333333333,69.58333333333333,19.27790065049287,26.90909090909091,23
Denmark,22,85.0,80.25,80.75,77.66666666666667,80.45454545454545,77.04347826086956,83.66666666666667,73.91666666666667,19.576696789879783,27.363636363636363,23
Hungary,22,85.0,74.5,73.0,70.0,74.54545454545455,70.95652173913044,80.66666666666667,67.66666666666667,18.29885204688284,28.272727272727273,23
Sweden,22,76.0,75.75,77.0,82.33333333333333,78.54545454545455,75.6086956521739,82.33333333333333,72.91666666666667,19.384808809053837,27.272727272727273,23
Austria,22,74.0,80.25,80.75,76.66666666666667,80.0909090909091,76.78260869565217,83.0,73.75,19.552405387295444,26.636363636363637,23
Finland,22,83.0,69.0,72.25,72.33333333333333,72.9090909090909,69.04347826086956,78.0,65.5,17.872931783375336,27.545454545454547,23
Mexico,22,80.0,76.75,79.5,80.33333333333333,79.27272727272727,77.30434782608695,82.0,75.5,19.421680207428594,29.545454545454547,23
Brazil,22,82.0,81.25,80.75,80.33333333333333,81.18181818181819,79.82608695652173,82.33333333333333,78.58333333333333,19.928085933036154,27.181818181818183,23
Wales,22,74.0,74.5,78.5,75.0,76.27272727272727,72.08695652173913,80.33333333333333,68.25,18.778005483728048,26.90909090909091,23
Russia,22,76.0,77.25,78.0,74.33333333333333,77.36363636363636,74.73913043478261,79.66666666666667,72.33333333333333,18.65575287403699,28.454545454545453,23
United States,22,77.0,75.25,76.0,76.33333333333333,76.36363636363636,73.8695652173913,79.0,71.58333333333333,19.157725190334755,23.363636363636363,23
Canada,22,76.0,72.75,74.25,75.33333333333333,75.0,71.30434782608695,78.66666666666667,67.91666666666667,18.711109049551602,28.09090909090909,23
Czech Republic,22,81.0,77.5,78.0,77.66666666666667,78.27272727272727,75.52173913043478,81.0,73.0,19.22536930371749,27.0,23
Ukraine,22,75.0,76.25,79.0,76.33333333333333,77.81818181818181,75.04347826086956,80.66666666666667,72.5,19.189978456719246,26.90909090909091,23
Greece,22,81.0,73.75,77.25,73.5,76.18181818181819,74.1304347826087,79.33333333333333,72.25,18.783934010205325,26.545454545454547,23
Northern Ireland,22,72.0,74.25,72.25,68.33333333333333,72.36363636363636,69.17391304347827,77.0,66.25,17.663208374164647,28.818181818181817,23
Iceland,22,70.0,71.5,74.25,69.33333333333333,72.36363636363636,69.43478260869566,76.33333333333333,66.75,17.679917730426112,28.545454545454547,23
New Zealand,22,68.0,70.25,68.75,70.66666666666667,70.27272727272727,66.73913043478261,75.0,63.5,17.556745266136932,27.363636363636363,23
China PR,22,73.0,69.5,71.0,77.0,72.81818181818181,69.65217391304348,77.33333333333333,66.75,17.849751213815786,30.363636363636363,23
Republic of Ireland,22,75.0,76.5,73.5,71.66666666666667,74.72727272727273,71.78260869565217,77.0,69.08333333333333,18.149200063957647,29.454545454545453,23
Romania,22,76.0,71.5,75.0,73.0,74.0,71.73913043478261,76.0,69.66666666666667,17.997178963631054,28.90909090909091,23
Australia,22,77.0,71.75,72.5,72.33333333333333,73.18181818181819,70.8695652173913,76.66666666666667,68.75,17.821023924694696,28.90909090909091,23
Argentina,21,82.0,81.0,80.0,90.0,84.54545454545455,80.6086956521739,90.0,77.0,20.48513554459275,27.545454545454547,23
Portugal,21,84.0,82.5,84.5,86.66666666666667,84.9090909090909,82.17391304347827,88.66666666666667,79.66666666666667,20.5812413380696,28.0,23
Poland,21,87.0,75.5,77.0,83.33333333333333,80.18181818181819,75.91304347826087,86.33333333333333,72.0,19.62154873633415,28.545454545454547,23
Belgium,21,89.0,82.0,85.0,86.0,85.0909090909091,81.30434782608695,89.33333333333333,77.83333333333333,20.452375328445598,28.818181818181817,23
Slovenia,21,91.0,72.0,74.25,78.33333333333333,76.54545454545455,71.95652173913044,84.33333333333333,67.75,19.138032618089557,28.636363636363637,23
Germany,21,90.0,81.25,86.5,80.5,86.27272727272727,83.1304347826087,89.0,80.25,20.856922222633976,26.636363636363637,23
Netherlands,21,81.0,85.25,84.0,82.0,84.0909090909091,81.1304347826087,86.66666666666667,78.41666666666667,20.538140354023092,26.0,23
Egypt,21,73.0,71.25,74.0,79.33333333333333,74.81818181818181,72.0,80.66666666666667,69.41666666666667,18.749984498289212,28.181818181818183,23
France,21,87.0,83.5,85.25,87.0,85.72727272727273,83.21739130434783,88.33333333333333,80.91666666666667,20.833016701801586,26.636363636363637,23
Spain,21,86.0,86.25,85.25,83.0,85.45454545454545,83.47826086956522,87.33333333333333,81.66666666666667,20.64692460476902,28.727272727272727,23
England,21,82.0,83.75,84.75,84.66666666666667,84.72727272727273,81.8695652173913,87.66666666666667,79.25,20.814020201128116,24.90909090909091,23
Italy,21,85.0,83.0,82.5,84.0,83.9090909090909,80.82608695652173,86.0,78.0,20.447512336677427,28.454545454545453,23
Scotland,21,72.0,77.0,78.0,69.66666666666667,77.72727272727273,73.47826086956522,81.66666666666667,69.58333333333333,19.26073817414379,25.727272727272727,23
Switzerland,21,86.0,78.25,80.5,76.33333333333333,79.72727272727273,76.95652173913044,83.33333333333333,74.41666666666667,19.654406509339704,26.181818181818183,23
