booking_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,minute_label,minute_regulation,minute_stoppage,match_period,yellow_card,red_card,second_yellow_card,sending_off
329cc168-7be9-5b6b-bf1f-c6a322d3cae6,eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,0067a42b-9708-5c6f-bd60-0d20f08c0e3a,Germany vs Norway,2007-09-26,semi-finals,,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,FALSE,TRUE,10132544-0c06-593e-b52c-efc2dba6eb0c,Kaurin,Leni Larsen,11,14',14,,first half,TRUE,FALSE,FALSE,FALSE
9db86368-7f57-52c2-ac82-ed96275e1e57,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,TRUE,FALSE,73c420d5-9591-5b5d-829d-0b350bd9cc5b,Arellano,Jesús,21,2',2,,first half,TRUE,FALSE,FALSE,FALSE
434453ad-45e8-5f65-a19a-6e12077c5af2,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,FALSE,TRUE,d3ee5d2b-1bd1-581a-aa82-52f5b4cb9c0e,Cannavaro,Fabio,5,5',5,,first half,TRUE,FALSE,FALSE,FALSE
9acfe99a-5b4e-5439-9c70-4bd400cb6876,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,FALSE,TRUE,f5203a2d-05ee-54ba-bf59-d1eeb8e7c678,Panucci,Christian,2,10',10,,first half,TRUE,FALSE,FALSE,FALSE
30620d1d-36c1-5304-833c-a8d5bb41c985,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,FALSE,TRUE,6eaf1dee-e680-5ba2-8678-e20ec6a03d94,Totti,Francesco,10,43',43,,first half,TRUE,FALSE,FALSE,FALSE
edc41249-7fcf-5bb5-8754-7118da68fae2,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,FALSE,TRUE,2d2c5b5a-0852-5f6d-ba6a-8d85943ca5e1,Zambrotta,Gianluca,19,55',55,,second half,TRUE,FALSE,FALSE,FALSE
bd447e9b-be9d-5cbb-af51-d8a42ef84e18,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,FALSE,TRUE,47b07bdd-4cf8-54e5-99e7-14c481b4b3ef,Montella,Vincenzo,20,57',57,,second half,TRUE,FALSE,FALSE,FALSE
af48a8d9-b0db-59cf-ae5e-fd511aedda7e,c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,2002-06-13,group stage,Group G,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,TRUE,FALSE,fdbad6d0-9334-5478-9917-cbacc3122103,Pérez,Óscar,1,84',84,,second half,TRUE,FALSE,FALSE,FALSE
22597030-145c-5cea-83b4-af0b5d835275,3ceb381b-9f6e-54ff-b80d-d1bade27a3b5,2003 FIFA Women's World Cup,012b4979-6e18-5aed-95cb-aeaa0d6e04fd,Sweden vs Canada,2003-10-05,semi-finals,,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,TRUE,FALSE,2023ffbd-cddf-59fd-bd2f-142bb7bd83ff,Törnqvist,Jane,3,64',64,,second half,TRUE,FALSE,FALSE,FALSE
f48bf1f2-7ebc-58fe-b900-015aa340ebdc,989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,0152a883-b8f6-5656-b596-16bd5050b7ec,Portugal vs Switzerland,2022-12-06,round of 16,,a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,FALSE,TRUE,49d98770-f688-57d0-9745-bf460db0ed86,Schär,Fabian,22,43',43,,first half,TRUE,FALSE,FALSE,FALSE
