tournament_id,tournament_name,stage_number,stage_name,group_name,count_teams
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group A,4
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group B,4
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group C,4
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group D,4
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group E,4
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group F,4
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,Group A,4
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,Group B,4
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,Group C,4
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,Group D,4
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,Group E,4
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,Group F,4
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,1,group stage,Group A,4
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,1,group stage,Group B,4
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,1,group stage,Group C,4
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,1,group stage,Group D,4
15f11a97-c603-53ea-be3a-d196027360e9,1930 FIFA Men's World Cup,1,group stage,Group 1,4
15f11a97-c603-53ea-be3a-d196027360e9,1930 FIFA Men's World Cup,1,group stage,Group 2,3
15f11a97-c603-53ea-be3a-d196027360e9,1930 FIFA Men's World Cup,1,group stage,Group 3,3
15f11a97-c603-53ea-be3a-d196027360e9,1930 FIFA Men's World Cup,1,group stage,Group 4,3
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,1,group stage,Group 1,4
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,1,group stage,Group 2,4
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,1,group stage,Group 3,4
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,1,group stage,Group 4,4
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,1,first group stage,Group 1,4
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,1,first group stage,Group 2,4
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,1,first group stage,Group 3,4
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,1,first group stage,Group 4,4
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,2,second group stage,Group A,4
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,2,second group stage,Group B,4
1e88b29b-3883-56c0-a9f4-0fc4447d0f51,1995 FIFA Women's World Cup,1,group stage,Group A,4
1e88b29b-3883-56c0-a9f4-0fc4447d0f51,1995 FIFA Women's World Cup,1,group stage,Group B,4
1e88b29b-3883-56c0-a9f4-0fc4447d0f51,1995 FIFA Women's World Cup,1,group stage,Group C,4
20ab0077-a605-5083-9dc5-cd0d38739b20,1994 FIFA Men's World Cup,1,group stage,Group A,4
20ab0077-a605-5083-9dc5-cd0d38739b20,1994 FIFA Men's World Cup,1,group stage,Group B,4
