tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,0067a42b-9708-5c6f-bd60-0d20f08c0e3a,Germany vs Norway,semi-finals,,FALSE,TRUE,FALSE,FALSE,2007-09-26,20:00,7c79f5e8-c549-55f8-919e-d45b525c354a,Tianjin Olympic Center,Tianjin,China,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,3–0,3,0,3,-3,FALSE,FALSE,,,,home team win,TRUE,FALSE,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,008ee188-ddec-5bd6-9ac8-b6ff21046bf8,Mexico vs Italy,group stage,Group G,TRUE,FALSE,FALSE,FALSE,2002-06-13,20:30,67fc5a06-5385-52f5-bcda-3da6d2490e60,Ōita Stadium,Ōita,Japan,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,1–1,1,1,0,0,FALSE,FALSE,,,,draw,FALSE,FALSE,TRUE
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,00ac82e9-0086-5e5a-9408-7c100f6ff9f1,Sweden vs Nigeria,group stage,Group D,TRUE,FALSE,FALSE,FALSE,2015-06-08,15:00,f1c1784c-4cc0-5363-a9fc-c1a55f9a647a,Investors Group Field,Winnipeg,Canada,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,f201a6b5-a9f6-5612-947b-a6a57d2e7e18,Nigeria,NGA,3–3,3,3,0,0,FALSE,FALSE,,,,draw,FALSE,FALSE,TRUE
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,00f2c6c7-b83a-595b-a500-0f3a4c1f9fd3,Brazil vs Sweden,final,,FALSE,TRUE,FALSE,FALSE,1958-06-29,15:00,775089b7-9098-5cab-9aeb-cc72eb70a1ee,Råsunda Stadium,Solna,Sweden,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,5–2,5,2,3,-3,FALSE,FALSE,,,,home team win,TRUE,FALSE,FALSE
3ceb381b-9f6e-54ff-b80d-d1bade27a3b5,2003 FIFA Women's World Cup,012b4979-6e18-5aed-95cb-aeaa0d6e04fd,Sweden vs Canada,semi-finals,,FALSE,TRUE,FALSE,FALSE,2003-10-05,19:30,471da64d-036e-5366-b432-a4abcb1e9e21,PGE Park,Portland,United States,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,2–1,2,1,1,-1,FALSE,FALSE,,,,home team win,TRUE,FALSE,FALSE
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,0152a883-b8f6-5656-b596-16bd5050b7ec,Portugal vs Switzerland,round of 16,,FALSE,TRUE,FALSE,FALSE,2022-12-06,22:00,8766147d-585e-5664-bfdd-ca45851c9c23,Lusail Stadium,Lusail,Qatar,13eebf0f-eb49-5e70-97f9-84f0395ceff1,Portugal,PRT,a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,6–1,6,1,5,-5,FALSE,FALSE,,,,home team win,TRUE,FALSE,FALSE
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,01a623d2-9dcd-5624-a054-e47c0f6a1238,Uruguay vs Brazil,final round,,TRUE,FALSE,FALSE,FALSE,1950-07-16,15:00,4963fdcb-371f-5e2d-896f-3db44d0486bc,Estádio do Maracanã,Rio de Janeiro,Brazil,f8764a69-de29-59f5-8e79-715c4bf88a11,Uruguay,URY,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,2–1,2,1,1,-1,FALSE,FALSE,,,,home team win,TRUE,FALSE,FALSE
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,01bee1d0-3328-5d4e-9c30-d4f828e25d42,Czechoslovakia vs Netherlands,round of 16,,FALSE,TRUE,FALSE,FALSE,1938-06-05,18:30,b9621b33-3d9d-5fff-a294-3f194af87302,Stade Jules Deschaseaux,Le Havre,France,cf23603f-09d6-52e6-9c7e-fb8db4554297,Czechoslovakia,CSK,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,3–0,3,0,3,-3,TRUE,FALSE,,,,home team win,TRUE,FALSE,FALSE
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,02035e62-390d-517e-98ca-5e52feb17737,Netherlands vs Argentina,quarter-finals,,FALSE,TRUE,FALSE,FALSE,2022-12-09,22:00,8766147d-585e-5664-bfdd-ca45851c9c23,Lusail Stadium,Lusail,Qatar,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,2–2,2,2,0,0,TRUE,TRUE,3–4,3,4,away team win,FALSE,TRUE,FALSE
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,024e4d02-646d-5b19-9c71-27570a3365f7,Argentina vs Croatia,group stage,Group H,TRUE,FALSE,FALSE,FALSE,1998-06-26,16:00,5fa2fb79-528b-5d1c-99e3-3362a5fe229e,Stade du Parc Lescure,Bordeaux,France,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,0db8bc49-3546-517c-af2c-7abd04ae2214,Croatia,HRV,1–0,1,0,1,-1,FALSE,FALSE,,,,home team win,TRUE,FALSE,FALSE
