referee_id,family_name,given_name,male,female,country_name,confederation_id,confederation_name,confederation_code,wikipedia_link_referee
103f6956-7121-504b-ba65-050d6072a394,Abdel-Fatah,Essam,TRUE,FALSE,Egypt,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Essam_Abd_El_Fatah
3d234ecd-c645-5c02-a571-67162909caf4,Abidoye,Bola Elizabeth,FALSE,TRUE,Nigeria,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,
a8ce2495-ab73-569b-9af3-6e18d01e66dc,Adair,John,TRUE,FALSE,Northern Ireland,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
6165c24c-ba65-56fa-8fde-c8fad016c7f9,Adámková,Jana,FALSE,TRUE,Czech Republic,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jana_Ad%C3%A1mkov%C3%A1
c34db10b-7d27-5936-8f98-9fb97278bd33,Agboyi,Xonam,FALSE,TRUE,Togo,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,
d50b3e10-6899-5e29-b87c-f0af516fc02c,Agnolin,Luigi,TRUE,FALSE,Italy,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Luigi_Agnolin
6effe362-dd72-59f9-be71-c4bb20a5d810,Aguilar,Joel,TRUE,FALSE,El Salvador,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Joel_Aguilar
eeeb203b-2d1f-5abd-9bfe-184a380d765b,Aguilar Elizalde,Abel,TRUE,FALSE,Mexico,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,
c636539a-8660-5255-a579-43b5fd7c8670,Ahlner,Sten,TRUE,FALSE,Sweden,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
e901bb60-d75c-5ba5-bb56-549fa47f06c7,Al-Doy,Ibrahim Youssef,TRUE,FALSE,Bahrain,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Ibrahim_Youssef_Al-Doy
0ab72bd5-be18-5e08-b7fb-a581927f2770,Al-Ghamdi,Khalil,TRUE,FALSE,Saudi Arabia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Khalil_Al_Ghamdi
1eff1e02-b415-5fad-893b-910ac45561e7,Al-Ghandour,Gamal,TRUE,FALSE,Egypt,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Gamal_Al-Ghandour
10a4f6d0-d2c2-5b4e-b225-63e611c6ea3f,Al-Jassim,Abdulrahman,TRUE,FALSE,Qatar,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Abdulrahman_Al-Jassim
f9900389-ea63-5c6d-acec-60c4b58c950b,Al-Shanar,Fallaj,TRUE,FALSE,Saudi Arabia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Fallaj_Al_Shanar
fbfcf383-dd9b-5c7b-8f61-e4b47c948563,Al-Sharif,Jamal,TRUE,FALSE,Syria,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Jamal_Al_Sharif
dcc96dd5-44a8-516b-b481-1bd9a28cfd26,Albon,Teodora,FALSE,TRUE,Romania,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Teodora_Albon
28e5a387-310f-56dd-a033-b3d51b0fb271,Alghoul,Yousef,TRUE,FALSE,Libya,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Yousef_Alghoul
5cdd5d87-28d5-5942-9c31-c6d6a909083c,Alvarado,Quetzalli,FALSE,TRUE,Mexico,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,
e86967cc-dfd8-5e5a-b20c-212019a0df4a,Alves Batista,Edina,FALSE,TRUE,Brazil,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Edina_Alves_Batista
8af2cff6-87ec-510c-8b1f-034a57ddfc3a,Amarilla,Carlos,TRUE,FALSE,Paraguay,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Carlos_Amarilla
0a06dad4-485b-5221-ae97-30cf293362ad,Amedome,Vincentia,FALSE,TRUE,Togo,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,
e4b764b2-e73e-51e6-ba74-5dc4cd7a1304,Angeles,Arturo,TRUE,FALSE,United States,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Arturo_Angeles
a28461f2-754c-54ff-8768-e442328609a1,Angonese,Aurelio,TRUE,FALSE,Italy,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
