team_id,team_name,team_code,men,women,federation_name,region_name,confederation_id,confederation_name,confederation_code,wikipedia_link_men,wikipedia_link_women,wikipedia_link_federation
0128c8d4-c488-5312-9fca-94d8f504a7a7,Bosnia and Herzegovina,BIH,TRUE,FALSE,Football Association of Bosnia and Herzegovina,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_Bosnia_and_Herzegovina
017c48cb-b97e-5de7-b7cd-7df9586d9d34,Trinidad and Tobago,TTO,TRUE,FALSE,Trinidad and Tobago Football Assocaition,Caribbean,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_national_football_team,,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_Football_Association
0483a910-5880-55a5-abb2-5da0215a7d70,Iraq,IRQ,TRUE,FALSE,Iraq Football Association,Middle East,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Iraq_national_football_team,,https://en.wikipedia.org/wiki/Iraq_Football_Association
0db8bc49-3546-517c-af2c-7abd04ae2214,Croatia,HRV,TRUE,FALSE,Croatian Football Federation,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Croatia_national_football_team,,https://en.wikipedia.org/wiki/Croatian_Football_Federation
10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,TRUE,TRUE,United States Soccer Federation,North America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/United_States_women's_national_soccer_team,https://en.wikipedia.org/wiki/United_States_Soccer_Federation
11240419-821b-5fbb-bf15-4906f40e3951,New Zealand,NZL,TRUE,TRUE,New Zealand Football,Oceania,af3baf15-a112-506c-a9a3-872a8414a8e2,Oceania Football Confederation,OFC,https://en.wikipedia.org/wiki/New_Zealand_national_football_team,https://en.wikipedia.org/wiki/New_Zealand_women's_national_football_team,https://en.wikipedia.org/wiki/New_Zealand_Football
1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,TRUE,TRUE,Canadian Soccer Association,North America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Canada_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/Canada_women's_national_soccer_team,https://en.wikipedia.org/wiki/Canadian_Soccer_Association
13a7a10d-674d-5be2-bdfa-a0e18b0b6b04,Jamaica,JAM,TRUE,TRUE,Jamaica Football Federation,Caribbean,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Jamaica_national_football_team,https://en.wikipedia.org/wiki/Jamaica_women's_national_football_team,https://en.wikipedia.org/wiki/Jamaica_Football_Federation
13eebf0f-eb49-5e70-97f9-84f0395ceff1,Portugal,PRT,TRUE,TRUE,Portuguese Football Federation,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Portugal_national_football_team,https://en.wikipedia.org/wiki/Portugal_women%27s_national_football_team,https://en.wikipedia.org/wiki/Portuguese_Football_Federation
153c6112-4054-5bec-b238-3f80b76f05c6,Angola,AGO,TRUE,FALSE,Angolan Football Federation,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Angola_national_football_team,,https://en.wikipedia.org/wiki/Angolan_Football_Federation
