tournament_id,tournament_name,stage_number,stage_name,group_stage,knockout_stage,unbalanced_groups,start_date,end_date,count_matches,count_teams,count_scheduled,count_replays,count_playoffs,count_walkovers
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,TRUE,FALSE,FALSE,2019-06-07,2019-06-20,36,24,36,0,0,0
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2,round of 16,FALSE,TRUE,,2019-06-22,2019-06-25,8,16,8,0,0,0
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,3,quarter-finals,FALSE,TRUE,,2019-06-27,2019-06-29,4,8,4,0,0,0
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,4,semi-finals,FALSE,TRUE,,2019-07-02,2019-07-03,2,4,2,0,0,0
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,5,third-place match,FALSE,TRUE,,2019-07-06,2019-07-06,1,2,1,0,0,0
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,6,final,FALSE,TRUE,,2019-07-07,2019-07-07,1,2,1,0,0,0
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,1,group stage,TRUE,FALSE,FALSE,2015-06-06,2015-06-17,36,24,36,0,0,0
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,2,round of 16,FALSE,TRUE,,2015-06-20,2015-06-23,8,16,8,0,0,0
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,3,quarter-finals,FALSE,TRUE,,2015-06-26,2015-06-27,4,8,4,0,0,0
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,4,semi-finals,FALSE,TRUE,,2015-06-30,2015-07-01,2,4,2,0,0,0
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,5,third-place match,FALSE,TRUE,,2015-07-04,2015-07-04,1,2,1,0,0,0
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,6,final,FALSE,TRUE,,2015-07-05,2015-07-05,1,2,1,0,0,0
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,1,group stage,TRUE,FALSE,FALSE,1999-06-19,1999-06-27,24,16,24,0,0,0
