team_a_goals,team_b_goals,probability
0,0,0.05563882649498366
0,1,0.04314054169899422
0,2,0.02455011507584773
0,3,0.0077681094005832285
0,4,0.0018434798616930451
0,5,0.00034998662611138436
0,6,5.537111316942311e-05
0,7,7.508760812670044e-06
0,8,8.909664263603101e-07
0,9,9.397273903918202e-08
0,10,8.920412575747778e-09
1,0,0.09076154669344218
1,1,0.10222813277823113
1,2,0.05093024953804484
1,3,0.016115270701918465
1,4,0.003824376752789829
1,5,0.0007260620224288582
1,6,0.00011486971047611928
1,7,1.5577241113912476e-05
1,8,1.848347442949155e-06
1,9,1.9495041201446766e-07
1,10,1.8505772256526162e-08
2,0,0.10188123352337565
2,1,0.0967113064966301
2,2,0.04660065373712502
2,3,0.0167159045015904
2,4,0.0039669154654738015
2,5,0.0007531231496910282
2,6,0.00011915103047046931
2,7,1.61578219612166e-05
2,8,1.9172373777387885e-06
2,9,2.0221642751502756e-07
2,10,1.9195502668872112e-08
3,0,0.07045230583181111
3,1,0.06687722858333184
3,2,0.031741783680327276
3,3,0.010196586961540698
3,4,0.002743177834791114
3,5,0.0005207952498815716
3,6,8.239461330191805e-05
3,7,1.117336112863613e-05
3,8,1.3257966105960163e-06
3,9,1.3983550358404566e-07
3,10,1.3273960059704584e-08
4,0,0.036539070239173715
4,1,0.03468490809145771
4,2,0.01646241737184489
4,3,0.005209012615519771
4,4,0.001254989731819056
4,5,0.0002701029297902482
4,6,4.2732775417677866e-05
4,7,5.794902271353999e-06
4,8,6.876052516020391e-07
4,9,7.252366302368224e-08
4,10,6.88434754898446e-09
5,0,0.015160368571958772
5,1,0.014391061050788934
5,2,0.006830395883336228
5,3,0.0021612632896881433
5,4,0.0005128976878283173
5,5,9.885655946088299e-05
5,6,1.773018911521669e-05
5,7,2.4043538518399465e-06
5,8,2.852932211483959e-07
5,9,3.009067976909814e-08
5,10,2.856373890657202e-09
6,0,0.005241804040925533
6,1,0.004975810555738026
6,2,0.0023616574077636038
6,3,0.0007472719803360019
6,4,0.0001773379822448783
6,5,3.366780585836421e-05
6,6,5.407646805491998e-06
6,7,8.313222516041461e-07
6,8,9.864213738380806e-08
6,9,1.0404064126752006e-08
6,10,9.876113586139947e-10
7,0,0.0015534776634248222
7,1,0.0014746469908874427
7,2,0.0006999082764213248
7,3,0.00022146389313520385
7,4,5.255644662473942e-05
7,5,9.977897679718927e-06
7,6,1.5785954673616875e-06
7,7,2.173289421308481e-07
7,8,2.9233896555807058e-08
7,9,3.083381428141856e-09
7,10,2.926916332188158e-10
8,0,0.0004028443695964682
8,1,0.0003824021750732618
8,2,0.00018149865622702207
8,3,5.7429523783267615e-05
8,4,1.36288207466706e-05
8,5,2.5874462152374246e-06
8,6,4.0935786260047233e-07
8,7,5.551216331244328e-08
8,8,6.68717855862087e-09
8,9,7.995756082561623e-10
8,10,7.590014278689404e-11
9,0,9.285751571680685e-05
9,1,8.814549404668617e-05
9,2,4.183629112171108e-05
9,3,1.323777446028442e-05
9,4,3.1415070736950016e-06
9,5,5.964184824985276e-07
9,6,9.435890638933005e-08
9,7,1.2795813883219139e-08
9,8,1.5183118562874344e-09
9,9,1.6257854350896923e-10
9,10,1.7495338730442785e-11
10,0,1.9263683417893625e-05
10,1,1.8286154641566158e-05
10,2,8.679115107982666e-06
10,3,2.746232164320558e-06
10,4,6.517188970174073e-07
10,5,1.2372953059041034e-07
10,6,1.9575153247543937e-08
10,7,2.6545455778977625e-09
10,8,3.1498020061570227e-10
10,9,3.322184912835135e-11
10,10,3.201610946681305e-12
