team_a_goals,team_b_goals,probability
0,0,0.05044397863765989
0,1,0.0341604701190658
0,2,0.019982041326141436
0,3,0.0063904204441977705
0,4,0.0015327815907450121
0,5,0.00029411766257852193
0,6,4.703061847546456e-05
0,7,6.446047247485603e-06
0,8,7.730620105747062e-07
0,9,8.241052046646602e-08
0,10,7.906667785491615e-09
1,0,0.08096835997386828
1,1,0.10024039211535167
1,2,0.044935552653735944
1,3,0.014370757705024231
1,4,0.003446914494541274
1,5,0.0006614108887814523
1,6,0.0001057623091829575
1,7,1.449585108799253e-05
1,8,1.7384594553578898e-06
1,9,1.8532452321565458e-07
1,10,1.7780490030603067e-08
2,0,0.09860935781085056
2,1,0.09460824034818821
2,2,0.050063369813840845
2,3,0.016158457711810136
2,4,0.0038757053204507203
2,5,0.0007436893792155015
2,6,0.00011891897668267911
2,7,1.6299112517924768e-05
2,8,1.9547211197692086e-06
2,9,2.083786069467018e-07
2,10,1.9992355459052462e-08
3,0,0.0739174728236872
3,1,0.0709182393039027
3,2,0.03402035049251519
3,3,0.012001585919894886
3,4,0.0029052247074416357
3,5,0.0005574687909728764
3,6,8.914154216503158e-05
3,7,1.2217797918377213e-05
3,8,1.4652569335821091e-06
3,9,1.5620038866459146e-07
3,10,1.498624901462846e-08
4,0,0.04155634599447207
4,1,0.039870179231659766
4,2,0.01912621470829185
4,3,0.006116720083652541
4,4,0.0016183771015539723
4,5,0.00031340852269187843
4,6,5.011530599168134e-05
4,7,6.868836530676418e-06
4,8,8.237663136560126e-07
4,9,8.781573757668655e-08
4,10,8.425257593650382e-09
5,0,0.018690356436091488
5,1,0.017931987117195056
5,2,0.008602194481168838
5,3,0.0027510522363653664
5,4,0.0006598567746676779
5,5,0.00013966924493163921
5,6,2.2539828983349843e-05
5,7,3.0893236637471904e-06
5,8,3.7049662702115574e-07
5,9,3.949595174284274e-08
5,10,3.78933863704377e-09
6,0,0.007005135945514697
6,1,0.006720899516212664
6,2,0.00322409805165521
6,3,0.0010310929582775612
6,4,0.0002473139785707892
6,5,4.745582132473291e-05
6,6,8.370653282265086e-06
6,7,1.157876914666812e-06
6,8,1.388619445815445e-07
6,9,1.4803062328005527e-08
6,10,1.4202421653566932e-09
7,0,0.002250446860104504
7,1,0.0021591340026774265
7,2,0.0010357631020226274
7,3,0.0003312455216400672
7,4,7.945127273239402e-05
7,5,1.5245500576231672e-05
7,6,2.437817962995693e-06
7,7,3.6857370010752326e-07
7,8,4.461033013522503e-08
7,9,4.755582960145338e-09
7,10,4.5626231189152956e-10
8,0,0.0006325997412259134
8,1,0.0006069317323504292
8,2,0.0002911526070339812
8,3,9.311298790766318e-05
8,4,2.233372200943593e-05
8,5,4.285504310435404e-06
8,6,6.852696857171494e-07
8,7,9.392351014279791e-08
8,8,1.242525863811546e-08
8,9,1.3367925292075568e-09
8,10,1.2825515925326736e-10
9,0,0.0001580653710034025
9,1,0.00015165180001780655
9,2,7.274923122834328e-05
9,3,2.326579987266238e-05
9,4,5.580444987959058e-06
9,5,1.0708032024372007e-06
9,6,1.7122581634377245e-07
9,7,2.346832208292254e-08
9,8,2.814510591946976e-09
9,9,3.309645570243564e-10
9,10,3.204664499416608e-11
10,0,3.554569168147767e-05
10,1,3.41034098243949e-05
10,2,1.6359824589609526e-05
10,3,5.232005870399137e-06
10,4,1.254928740737085e-06
10,5,2.40801892557177e-07
10,6,3.850520855408641e-08
10,7,5.277549002325257e-09
10,8,6.329262703179109e-10
10,9,6.747166804254397e-11
10,10,7.140729088161855e-12
