team_a_goals,team_b_goals,probability
0,0,0.09437049689277369
0,1,0.07102431476167512
0,2,0.030488726057867507
0,3,0.007621365368534749
0,4,0.0014288529956234138
0,5,0.00021430500015453464
0,6,2.678525667785549e-05
0,7,2.869541640377374e-06
0,8,2.68990723489459e-07
0,9,2.2413493439822402e-08
0,10,1.6808320134392418e-09
1,0,0.14727435179346926
1,1,0.11040282664045277
1,2,0.04821824841732215
1,3,0.012053271360754523
1,4,0.002259746391634692
1,5,0.0003389256643558288
1,6,4.2361171731584916e-05
1,7,4.538210989759014e-06
1,8,4.2541172440437274e-07
1,9,3.544718111639487e-08
1,10,2.6582539204155202e-09
2,0,0.12389062799733708
2,1,0.09290802179593945
2,2,0.030309819958031003
2,3,0.009531189194510197
2,4,0.0017869066202566366
2,5,0.00026800729305477506
2,6,3.349732451801354e-05
2,7,3.5886147630290174e-06
2,8,3.3639661047231966e-07
2,9,2.8030049230657933e-08
2,10,2.1020285932517774e-09
3,0,0.06531145387987476
3,1,0.04897834548652318
3,2,0.0183649129217779
3,3,0.0039941811513799245
3,4,0.0009420040176004491
3,5,0.00014128547286234802
3,6,1.765879308808139e-05
3,7,1.8918109575911188e-06
3,8,1.7733828672400737e-07
3,9,1.4776608183938525e-08
3,10,1.1081269482732165e-09
4,0,0.025822691818109256
4,1,0.019364945137886374
4,2,0.007261076862838205
4,3,0.001815074845556688
4,4,0.00029607019241033154
4,5,5.586112400453652e-05
4,6,6.981892833560024e-06
4,7,7.479798478510199e-07
4,8,7.011560229616375e-08
4,9,5.842341221688439e-09
4,10,4.381286739264982e-10
5,0,0.008167773009120168
5,1,0.006125173832938624
5,2,0.0022966942422263433
5,3,0.0005741120808588256
5,4,0.00010763448895200205
5,5,1.404564177924384e-05
5,6,2.2083877327819417e-06
5,7,2.3658763600930802e-07
5,8,2.217771594017895e-08
5,9,1.8479451048984779e-09
5,10,1.3858104269783613e-10
6,0,0.002152903487574151
6,1,0.0016145047238956003
6,2,0.0006053744439836231
6,3,0.00015132740586195126
6,4,2.8370850461843115e-05
6,5,4.255171897481893e-06
6,6,4.627282323960607e-07
6,7,6.236098213216999e-08
6,8,5.845716077164019e-09
6,9,4.870908455388223e-10
6,10,3.6527901767433194e-11
7,0,0.00048640571968115205
7,1,0.0003647652283010255
7,2,0.00013677231413388645
7,3,3.418941730579041e-05
7,4,6.409829338150418e-06
7,5,9.61371450744332e-07
7,6,1.2015856397368506e-07
7,7,1.1199969204741615e-08
7,8,1.3207232706787617e-09
7,9,1.1004848784065687e-10
7,10,8.252752828994997e-12
8,0,9.615698512081652e-05
8,1,7.21100168257172e-05
8,2,2.7038360864121602e-05
8,3,6.7588664321573465e-06
8,4,1.2671517610844125e-06
8,5,1.900524121003313e-07
8,6,2.3754007777149974e-08
8,7,2.5447997479424255e-09
8,8,2.0755049106198034e-10
8,9,2.1755358499482802e-11
8,10,1.631477178154158e-12
9,0,1.689703410301816e-05
9,1,1.2671418638411344e-05
9,2,4.7512731918200435e-06
9,3,1.1876911121788468e-06
9,4,2.2266823875395886e-07
9,5,3.339665947913499e-08
9,6,4.174135441014058e-09
9,7,4.47180910178375e-10
9,8,4.1918721396821004e-11
9,9,3.0389647114268245e-12
9,10,2.8668874635503504e-13
10,0,2.6722841300384558e-06
10,1,2.0039984961888513e-06
10,2,7.514189691852464e-07
10,3,1.878346277289184e-07
10,4,3.5215221621617776e-08
10,5,5.28171764217779e-09
10,6,6.60144012709338e-10
10,7,7.072214225527146e-11
10,8,6.629490906940842e-12
10,9,5.523984211221458e-13
10,10,3.604230585403456e-14
