team_a_goals,team_b_goals,probability
0,0,0.0833664155248878
0,1,0.030248908645540255
0,2,0.011380203626130053
0,3,0.00233609181733223
0,4,0.0003596590947509095
0,5,4.4297801474178094e-05
0,6,4.546655532244882e-06
0,7,3.9999553362439005e-07
0,8,3.079117662679085e-08
0,9,2.1069047657084366e-09
0,10,1.2974960232965976e-10
1,0,0.10963141537880713
1,1,0.11317734014137437
1,2,0.025826309209310925
1,3,0.005301542186576845
1,4,0.0008162127230878507
1,5,0.00010052972299528503
1,6,1.03182100691384e-05
1,7,9.077525036553125e-07
1,8,6.987769943378693e-08
1,9,4.781423579171994e-09
1,10,2.9445460376972584e-10
2,0,0.13084541563443655
2,1,0.08057858580769178
2,2,0.03661416881821731
2,3,0.006015677412061415
2,4,0.0009261592700608326
2,5,0.00011407140839032184
2,6,1.1708107011386282e-05
2,7,1.0300297611151166e-06
2,8,7.92904561157651e-08
2,9,5.425497112057336e-09
2,10,3.341186104790337e-10
3,0,0.09898048323835695
3,1,0.06095519146189834
3,2,0.018769030240078866
3,3,0.0056856498938363045
3,4,0.0007006106531269145
3,5,8.629146899344971e-05
3,6,8.85681843856982e-06
3,7,7.791854457469516e-07
3,8,5.998076145407293e-08
3,9,4.1042196500036185e-09
3,10,2.527503265115486e-10
4,0,0.056156740463134354
4,1,0.034583028439691306
4,2,0.010648640271826637
4,3,0.002185918830802859
4,4,0.0004966307133073074
4,5,4.89576072969696e-05
4,6,5.02493055308834e-06
4,7,4.420721481435107e-07
4,8,3.403018396713842e-08
4,9,2.3285357895649654e-09
4,10,1.4339831473343596e-10
5,0,0.025488495479252277
5,1,0.015696590592229796
5,2,0.004833218901065255
5,3,0.000992147723985285
5,4,0.00015274868462799592
5,5,2.7763039371665004e-05
5,6,2.2807221115340393e-06
5,7,2.0064829006334947e-07
5,8,1.5445664813361902e-08
5,9,1.0568788974596252e-09
5,10,6.508581635387134e-11
6,0,0.00964062664069021
6,1,0.005936991045808762
6,2,0.0018280898115711013
6,3,0.0003752644320312502
6,4,5.777481215216256e-05
6,5,7.115897237902273e-06
6,6,1.077799434965881e-06
6,7,7.589209226445915e-08
6,8,5.842082276063646e-09
6,9,3.9974799074062333e-10
6,10,2.4617696857900607e-11
7,0,0.0031255002455353917
7,1,0.001924778094102004
7,2,0.0005926684403283933
7,3,0.00012166108264207191
7,4,1.873064856647297e-05
7,5,2.3069805929831e-06
7,6,2.3678480030171306e-07
7,7,3.074081058326193e-08
7,8,1.8940085814761543e-09
7,9,1.2959867545732977e-10
7,10,7.98108052946811e-12
8,0,0.0008866288603750572
8,1,0.00054601301359239
8,2,0.0001681257087019082
8,3,3.4512307976625435e-05
8,4,5.313432182992153e-06
8,5,6.544346227410392e-07
8,6,6.717012354919236e-08
8,7,5.909343521216711e-09
8,8,6.712878462742075e-10
8,9,3.676401116620806e-11
8,10,2.2640396027842e-12
9,0,0.00022356904297455616
9,1,0.00013768061514359667
9,2,4.239395475803084e-05
9,3,8.702495497285477e-06
9,4,1.339815340050238e-06
9,5,1.650198057321718e-07
9,6,1.6937369072357005e-08
9,7,1.4900781315503865e-09
9,8,1.1470442812336641e-10
9,9,1.1582363983649832e-11
9,10,5.708918239327792e-13
10,0,5.0736906150194224e-05
10,1,3.124532965879661e-05
10,2,9.620912069380663e-06
10,3,1.9749500710995636e-06
10,4,3.040585774411349e-07
10,5,3.744970361263007e-08
10,6,3.843777714579116e-09
10,7,3.381593145055095e-10
10,8,2.6031098613994026e-11
10,9,1.7811935669496503e-12
10,10,1.618715972848253e-13
