team_a_goals,team_b_goals,probability
0,0,0.05092610162772265
0,1,0.02803296324800968
0,2,0.01735930398829738
0,3,0.005855693450666435
0,4,0.0014814453020967953
0,5,0.00029983539290020616
0,6,5.0570695336269044e-05
0,7,7.3108549005322815e-06
0,8,9.247949656135318e-07
0,9,1.0398488762381904e-07
0,10,1.0522949984127843e-08
1,0,0.07519263311428058
1,1,0.10737638717037094
1,2,0.03968820988881459
1,3,0.013387748199540615
1,4,0.0033869970897481075
1,5,0.0006855073229629944
1,6,0.00011561871213743273
1,7,1.671465307333745e-05
1,8,2.1143391880303624e-06
1,9,2.3773845126861601e-07
1,10,2.405839818814799e-08
2,0,0.0935274127118525
2,1,0.0946468576926431
2,2,0.05750710729109132
2,3,0.015304062905982949
2,4,0.003871809937810517
2,5,0.0007836304535140287
2,6,0.00013216830920981324
2,7,1.9107179062033384e-05
2,8,2.41698450373543e-06
2,9,2.717681987408986e-07
2,10,2.750210369965258e-08
3,0,0.07127658245146531
3,1,0.07212970358632474
3,2,0.03649651793415994
3,3,0.014783439716556063
3,4,0.002950679081853627
3,5,0.0005971992489886716
3,6,0.00010072453749883515
3,7,1.4561446578510401e-05
3,8,1.8419668658553674e-06
3,9,2.071126300149119e-07
3,10,2.0959159513760595e-08
4,0,0.040739536078148515
4,1,0.041227154283977926
4,2,0.020860304436144245
4,3,0.007036661616616956
4,4,0.002137725775703958
4,5,0.0003413410058848439
4,6,5.757109541808927e-05
4,7,8.322881903593021e-06
4,8,1.052812480696122e-06
4,9,1.1837930737599869e-07
4,10,1.1979620877024318e-08
5,0,0.018628388093583678
5,1,0.018851354333608183
5,2,0.00953849464661014
5,3,0.003217554152460586
5,4,0.0008140163967876908
5,5,0.00019783743235847972
5,6,2.6324715783794558e-05
5,7,3.8056858050564597e-06
5,8,4.814045855248545e-07
5,9,5.412962179587876e-08
5,10,5.4777508139299435e-09
6,0,0.007098281676950245
6,1,0.007183242177461265
6,2,0.0036346097920861744
6,3,0.001226037678100168
6,4,0.000310178081164485
6,5,6.277813072366054e-05
6,6,1.2714592563947748e-05
6,7,1.4501431730191668e-06
6,8,1.834375218867109e-07
6,9,2.0625901749721174e-08
6,10,2.0872776559132804e-09
7,0,0.002318378772021256
7,1,0.0023461278287379905
7,2,0.0011871045092385734
7,3,0.00040043771943224665
7,4,0.00010130765608430908
7,5,2.0504044815454877e-05
7,6,3.4582435165307073e-06
7,7,6.00347697874302e-07
7,8,5.991276143849146e-08
7,9,6.736651903463881e-09
7,10,6.817283997755836e-10
8,0,0.0006625575495983383
8,1,0.0006704878098490721
8,2,0.00033925649434433144
8,3,0.00011443903703555123
8,4,2.8952194171555167e-05
8,5,5.85974554879928e-06
8,6,9.883136344581398e-07
8,7,1.428775604071857e-07
8,8,2.1702979359620304e-08
8,9,1.9252331118286693e-09
8,10,1.9482765434964306e-10
9,0,0.0001683101472373713
9,1,0.0001703246790636871
9,2,8.618166157633359e-05
9,3,2.9071061351324642e-05
9,4,7.354754416146243e-06
9,5,1.4885569362085362e-06
9,6,2.5106228648846146e-07
9,7,3.6295327467973564e-08
9,8,4.5912190262773045e-09
9,9,6.199131089977875e-10
9,10,4.949226102604859e-11
10,0,3.848039330653625e-05
10,1,3.894097146107757e-05
10,2,1.9703531175640088e-05
10,3,6.646455326663934e-06
10,4,1.6815019608244504e-06
10,5,3.4032562685417613e-07
10,6,5.7399840039883056e-08
10,7,8.29812402330927e-09
10,8,1.0496807042681687e-09
10,9,1.1802716724544814e-10
10,10,1.4342580695259859e-11
