team_a_goals,team_b_goals,probability
0,0,0.049647690313593444
0,1,0.03418010400020345
0,2,0.020671900092256872
0,3,0.006871485941082173
0,4,0.0017130979310475767
0,5,0.0003416675282781483
0,6,5.678635264803252e-05
0,7,8.089793849722125e-06
0,8,1.0084142807965804e-06
0,9,1.1173468206204757e-07
0,10,1.1142419808930445e-08
1,0,0.08200669170590391
1,1,0.09986275614148986
1,2,0.045366715768888885
1,3,0.015080217503361429
1,4,0.0037595782959118453
1,5,0.0007498262653010577
1,6,0.0001246237795576498
1,7,1.7753925694847955e-05
1,8,2.213073972398071e-06
1,9,2.452138187594473e-07
1,10,2.445324281722555e-08
2,0,0.09778753207550007
2,1,0.09751580389868657
2,2,0.05059041757362377
2,3,0.016547582422388966
2,4,0.00412540016157981
2,5,0.0008227873321306941
2,6,0.00013675016713519996
2,7,1.94814530155802e-05
2,8,2.4284148393043996e-06
2,9,2.690740949940696e-07
2,10,2.6832640240270723e-08
3,0,0.07153509762223925
3,1,0.07133631868547194
3,2,0.035569046053927224
3,3,0.012301957362269626
3,4,0.003017878629573791
3,5,0.0006018985332492861
3,6,0.00010003766685021988
3,7,1.425138372667608e-05
3,8,1.7764728172382024e-06
3,9,1.968373804357309e-07
3,10,1.962904164068889e-08
4,0,0.0392478730407498
4,1,0.039138812583257764
4,2,0.019515027589353823
4,3,0.006486933330831291
4,4,0.0016826845129635094
4,5,0.0003302328227904363
4,6,5.4885864118952886e-05
4,7,7.819049917472966e-06
4,8,9.74665330849178e-07
4,9,1.0799521876396519e-07
4,10,1.0769512586585787e-08
5,0,0.017226738643537434
5,1,0.01717886965467251
5,2,0.008565566841142593
5,3,0.002847255059459078
5,4,0.0007098358045619354
5,5,0.00014730285072071767
5,6,2.409059047404235e-05
5,7,3.431949783093431e-06
5,8,4.2780165187608783e-07
5,9,4.740143259398745e-08
5,10,4.7269715343498255e-09
6,0,0.006300989525059296
6,1,0.00628348058133789
6,2,0.0031330101453929007
6,3,0.0010414347530345843
6,4,0.0002596352136992978
6,5,5.178274990056261e-05
6,6,8.954825220951591e-06
6,7,1.2552973654077974e-06
6,8,1.5647614926145818e-07
6,9,1.7337926605136407e-08
6,10,1.7289748651504233e-09
7,0,0.0019754573639327124
7,1,0.0019699680401254627
7,2,0.0009822469849184617
7,3,0.00032650585178020186
7,4,8.13996425162593e-05
7,5,1.6234690473444277e-05
7,6,2.698263024884657e-06
7,7,3.99953495286646e-07
7,8,4.9057685322127686e-08
7,9,5.4357073045791635e-09
7,10,5.420602773314132e-10
8,0,0.0005419192983175691
8,1,0.0005404134341262303
8,2,0.00026945587718576124
8,3,8.956904123764933e-05
8,4,2.2330037570587996e-05
8,5,4.4535975467762695e-06
8,6,7.402036772946222e-07
8,7,1.0544954688734014e-07
8,8,1.3676594963833871e-08
8,9,1.4911557911292694e-09
8,10,1.4870122256269158e-10
9,0,0.00013214448742672022
9,1,0.0001317772894835643
9,2,6.57055559478593e-05
9,3,2.1840991971309928e-05
9,4,5.445075268855933e-06
9,5,1.0859889412514928e-06
9,6,1.8049520626252284e-07
9,7,2.5713379032760867e-08
9,8,3.205240962359266e-09
9,9,3.695229610128026e-10
9,10,3.626009794498671e-11
10,0,2.9000533936205823e-05
10,1,2.891994838459359e-05
10,2,1.4419793380483188e-05
10,3,4.793241407180305e-06
10,4,1.1949805337677778e-06
10,5,2.383319937017658e-07
10,6,3.961162101023317e-08
10,7,5.643078540583302e-09
10,8,7.034247217778473e-10
10,9,7.794111918005134e-11
10,10,8.087045602517943e-12
