team_a_goals,team_b_goals,probability
0,0,0.050250210782143284
0,1,0.033941443405896214
0,2,0.020022998570505622
0,3,0.0064665858000602025
0,4,0.0015663262833346537
0,5,0.0003035144791048298
0,6,4.90112011390509e-05
0,7,6.7836664968823995e-06
0,8,8.215645365244142e-07
0,9,8.844358895621136e-08
0,10,8.569067032143655e-09
1,0,0.08133758234649105
1,1,0.10017580221261063
1,2,0.04475640072018374
1,3,0.014454433702316137
1,4,0.0035011302901826824
1,5,0.0006784306358191267
1,6,0.00010955227061685272
1,7,1.5163188221657392e-05
1,8,1.8364018498379273e-06
1,9,1.9769350202552872e-07
1,10,1.9154004158681427e-08
2,0,0.09854295614214612
2,1,0.0954756819226001
2,2,0.05021949046908294
2,3,0.016154633999653074
2,4,0.003912950143037252
2,5,0.0007582309235714818
2,6,0.0001224383377511787
2,7,1.6946755648370682e-05
2,8,2.0524083040115176e-06
2,9,2.2094716646148136e-07
2,10,2.140699062888571e-08
3,0,0.07342270302687585
3,1,0.07113732847611788
3,2,0.03446154455023759
3,3,0.012084342129433713
3,4,0.0029154734905331267
3,5,0.0005649451377009428
3,6,9.122675088863367e-05
3,7,1.2626743259503087e-05
3,8,1.5292149869947032e-06
3,9,1.6462402613871646e-07
3,10,1.594998949875789e-08
4,0,0.04102951796978178
4,1,0.03975242229865561
4,2,0.019257538923251653
4,3,0.006219374551054622
4,4,0.001635672114096792
4,5,0.0003156983565527003
4,6,5.097864094624666e-05
4,7,7.0559808902154875e-06
4,8,8.54544319426543e-07
4,9,9.19939495586791e-08
4,10,8.913052145704469e-09
5,0,0.018342243207433464
5,1,0.017771317674839852
5,2,0.008609081460987407
5,3,0.002780370968471626
5,4,0.0006734571008548577
5,5,0.00014169334756942352
5,6,2.2789997954866424e-05
5,7,3.1543757752809804e-06
5,8,3.8202397966255516e-07
5,9,4.11258888700669e-08
5,10,3.984579353270855e-09
6,0,0.006833248811429394
6,1,0.006620555294453842
6,2,0.0032072410661826874
6,3,0.001035803876373307
6,4,0.00025089079246861995
6,5,4.861629980835961e-05
6,6,8.523935993276444e-06
6,7,1.1751362291666216e-06
6,8,1.4231982835713104e-07
6,9,1.5321104843189144e-08
6,10,1.4844216065540874e-09
7,0,0.002182002439046344
7,1,0.0021140848517292037
7,2,0.0010241406426347176
7,3,0.0003307543230154142
7,4,8.011479403254498e-05
7,5,1.5524223936031203e-05
7,6,2.5068354699272932e-06
7,7,3.767361712412065e-07
7,8,4.54457639652312e-08
7,9,4.892356338731117e-09
7,10,4.740075556236869e-10
8,0,0.0006096650258857208
8,1,0.0005906884304022173
8,2,0.0002861512527343478
8,3,9.241481095279546e-05
8,4,2.2384570751913502e-05
8,5,4.337564531757688e-06
8,6,7.004253910607133e-07
8,7,9.694625205009465e-08
8,8,1.2748249823420737e-08
8,9,1.3669547295273785e-09
8,10,1.3244065336409295e-10
9,0,0.00015141706011237668
9,1,0.000146704012492695
9,2,7.106883222235276e-05
9,3,2.2952241626430984e-05
9,4,5.559456014732206e-06
9,5,1.0772821821168037e-06
9,6,1.7395840180990612e-07
9,7,2.40776752004311e-08
9,8,2.9160283860827435e-09
9,9,3.408464433468675e-10
9,10,3.2893102802837026e-11
10,0,3.3845493193233214e-05
10,1,3.27920093849164e-05
10,2,1.588565829667737e-05
10,3,5.130399026108923e-06
10,4,1.242677215929634e-06
10,5,2.407994629863072e-07
10,6,3.888404582675983e-08
10,7,5.381961527322375e-09
10,8,6.518051454650527e-10
10,9,7.01685428255356e-11
10,10,7.381625135734791e-12
