team_a_goals,team_b_goals,probability
0,0,0.08374278905401951
0,1,0.10523732440950936
0,2,0.11921845580242812
0,3,0.08501873913994969
0,4,0.04547231774830365
0,5,0.01945671462381008
0,6,0.006937622761460313
0,7,0.002120337837572431
0,8,0.0005670319088426656
0,9,0.00013478991882994595
0,10,2.8836983847591693e-05
1,0,0.04171828428162986
1,1,0.12046382767496222
1,2,0.08307472728793242
1,3,0.05924341597009121
1,4,0.03168637247198429
1,5,0.013557978506036213
1,6,0.004834327999433203
1,7,0.0014775102263237538
1,8,0.0003951235643307232
1,9,9.392535469942095e-05
1,10,2.0094410322805072e-05
2,0,0.01753666761975796
2,1,0.03751798393242997
2,2,0.04157102818485371
2,3,0.020641227871115515
2,4,0.011039971681130972
2,5,0.004723787770037813
2,6,0.001684346930473953
2,7,0.000514785056939469
2,8,0.0001376665304498185
2,9,3.2724896386880535e-05
2,10,7.001171279828155e-06
3,0,0.004073345496284687
3,1,0.008714524001621817
3,2,0.009321935574101256
3,3,0.006885985614903744
3,4,0.0025643195104969436
3,5,0.0010972221208554664
3,6,0.00039123322242231716
3,7,0.00011957216950822176
3,8,3.1976619159110606e-05
3,9,7.601205212083653e-06
3,10,1.626203456651893e-06
4,0,0.0007096050355118046
4,1,0.0015181305193187398
4,2,0.001623945827853871
4,3,0.0011580910504706092
4,4,0.0006415994498324635
4,5,0.00019114370306769687
4,6,6.81555406835991e-05
4,7,2.0830301202659164e-05
4,8,5.570548826423995e-06
4,9,1.324182664930556e-06
4,10,2.832959204318461e-07
5,0,9.889449483388817e-05
5,1,0.00021157509218018726
5,2,0.0002263221006702359
5,3,0.00016139799420297743
5,4,8.632380285310597e-05
5,5,3.825972363433229e-05
5,6,9.498534295453037e-06
5,7,2.9030263478738267e-06
5,8,7.763425913957529e-07
5,9,1.8454544311632164e-07
5,10,3.9481691275488056e-08
6,0,1.1485404578379278e-05
6,1,2.457189893612403e-05
6,2,2.628458637250258e-05
6,3,1.8744433294024926e-05
6,4,1.0025470094948386e-05
6,5,4.2897024006265825e-06
6,6,1.584372086039683e-06
6,7,3.3715154886053664e-07
6,8,9.016284241690834e-08
6,9,2.1432730718200888e-08
6,10,4.5853229595775196e-09
7,0,1.143335504459699e-06
7,1,2.4460544053059803e-06
7,2,2.616546993589707e-06
7,3,1.8659487308247127e-06
7,4,9.98003668937444e-07
7,5,4.2702623357604575e-07
7,6,1.5226347176683352e-07
7,7,4.8203542582539424e-08
7,8,8.975424262573335e-09
7,9,2.1335601911466142e-09
7,10,4.56454320204625e-10
8,0,9.958848715190448e-08
8,1,2.1305982081855354e-07
8,2,2.2791031647058232e-07
8,3,1.6253060495454904e-07
8,4,8.692958031465868e-08
8,5,3.7195465731741575e-08
8,6,1.3262676390795288e-08
8,7,4.05345686062678e-09
8,8,1.1228373151838673e-09
8,9,1.8584049113757669e-10
8,10,3.9758754124067274e-11
9,0,7.710668952197347e-09
9,1,1.649622152448707e-08
9,2,1.7646025673777734e-08
9,3,1.2583981595114806e-08
9,4,6.730549234444976e-09
9,5,2.879870263947226e-09
9,6,1.0268667593429783e-09
9,7,3.138401321091716e-10
9,8,8.392878060650978e-11
9,9,2.0665678686533892e-11
9,10,3.0783336484957454e-12
10,0,5.373008030508937e-10
10,1,1.1495024786256041e-09
10,2,1.2296240214638647e-09
10,3,8.768867472524585e-10
10,4,4.690033421302962e-10
10,5,2.0067734915013774e-10
10,6,7.155492446138802e-11
10,7,2.1869251041286392e-11
10,8,5.8483902627033455e-12
10,9,1.3902287269945527e-12
10,10,3.080828527320105e-13
