team_a_goals,team_b_goals,probability
0,0,0.11119550644190238
0,1,0.06504173020777142
0,2,0.01917399732015204
0,3,0.0037682697150356573
0,4,0.0005554341281120376
0,5,6.549575141940922e-05
0,6,6.435946882027278e-06
0,7,5.420819959934282e-07
0,8,3.995080813993608e-08
0,9,2.6171802344469394e-09
0,10,1.543064941271952e-10
1,0,0.17345018161946174
1,1,0.10543500323030727
1,2,0.032912168010595086
1,3,0.006732350880360616
1,4,0.0010312627683618692
1,5,0.0001261951279478227
1,6,1.2851668855301773e-05
1,7,1.1204546819485422e-06
1,8,8.537632403978918e-08
1,9,5.776445434474334e-09
1,10,3.5138905266752623e-10
2,0,0.13670661411249063
2,1,0.08776859872411374
2,2,0.02771878819917642
2,3,0.005986205956674389
2,4,0.0009519046975470177
2,5,0.0001207700041362815
2,6,1.2736625613224784e-05
2,7,1.1486396896965956e-06
2,8,9.044111219918405e-08
2,9,6.316813979967302e-09
2,10,3.963040319671619e-10
3,0,0.0718311858294973
3,1,0.04800026194350419
3,2,0.01596372831841758
3,3,0.0034787353247890374
3,4,0.0005826272862153583
3,5,7.656962485247741e-05
3,6,8.355906046437155e-06
3,7,7.789846531208125e-07
3,8,6.334355875161782e-08
3,9,4.564906630793032e-09
3,10,2.9524623679685675e-10
4,0,0.028307258345741257
4,1,0.01965804816403442
4,2,0.006786882567395463
4,3,0.0015537226375695863
4,4,0.00026200217627085203
4,5,3.6193710530987356e-05
4,6,4.083939642545365e-06
4,7,3.933074622143351e-07
4,8,3.3010147177193634e-08
4,9,2.453342712671151e-09
4,10,1.6351082011924172e-10
5,0,0.008924267261348613
5,1,0.006431434274547008
5,2,0.0023021315526137484
5,3,0.000545925504351891
5,4,9.65196596866038e-05
5,5,1.34001211139711e-05
5,6,1.5866542463051805e-06
5,7,1.5774875855220562e-07
5,8,1.3657529778792459e-08
5,9,1.046273756480589e-09
5,10,7.182552043485108e-11
6,0,0.0023445855352490223
6,1,0.0017511323274180353
6,2,0.0006491119890526676
6,3,0.00015928123127719615
6,4,2.9117640492489855e-05
6,5,4.231213811652884e-06
6,6,5.027128998215057e-07
6,7,5.237161388325819e-08
6,8,4.674578353990416e-09
6,9,3.689413033703609e-10
6,10,2.6076058076961658e-11
7,0,0.0005279743267381619
7,1,0.00040817643283145216
7,2,0.00015651042022868074
7,3,3.970033295975389e-05
7,4,7.497271571012934e-06
7,5,1.124715848346109e-06
7,6,1.3966212016097436e-07
7,7,1.4579469562470427e-08
7,8,1.3618348256532935e-09
7,9,1.106774951749303e-10
7,10,8.050055461652137e-12
8,0,0.00010403215187322313
8,1,8.315440752035834e-05
8,2,3.2947276809600904e-05
8,3,8.63101552899892e-06
8,4,1.6823358826580386e-06
8,5,2.603413857553587e-07
8,6,3.33287716957135e-08
8,7,3.631676111485857e-09
8,8,3.395108735227549e-10
8,9,2.8842475112949543e-11
8,10,2.157889291308544e-12
9,0,1.8220900483276146e-05
9,1,1.5041899693786304e-05
9,2,6.152419067324784e-06
9,3,1.662974268200983e-06
9,4,3.3428559222653786e-07
9,5,5.332250941391759e-08
9,6,7.032801080249258e-09
9,7,7.891075278243673e-10
9,8,7.691573595467104e-11
9,9,6.532695595380694e-12
9,10,5.103793605164461e-13
10,0,2.872199484477034e-06
10,1,2.446382895338001e-06
10,2,1.0319781541631773e-06
10,3,2.875624614854137e-07
10,4,5.956623178150311e-08
10,5,9.786743821617005e-09
10,6,1.328945549550774e-09
10,7,1.53451072649194e-10
10,8,1.53853019648828e-11
10,9,1.3610553177723567e-12
10,10,1.062079903271396e-13
