team_a_goals,team_b_goals,probability
0,0,0.10051908066456203
0,1,0.1680031642953323
0,2,0.14537007813718517
0,3,0.0838573872750104
0,4,0.03628013493578927
0,5,0.012557015988513357
0,6,0.003621785742501809
0,7,0.0008953900678715782
0,8,0.00019369117938299325
0,9,3.724387771635112e-05
0,10,6.445289809232655e-06
1,0,0.05404159729135345
1,1,0.09817269755890118
1,2,0.0877088700571811
1,3,0.05259768422170865
1,4,0.02362224033024204
1,5,0.008475805984811
1,6,0.0025311379273125433
1,7,0.0006471374098676227
1,8,0.00014461419401008642
1,9,2.8696461769634172e-05
1,10,5.120011844152286e-06
2,0,0.015012511719003842
2,1,0.028213322376342425
2,2,0.026598780235567464
2,3,0.016423641070120062
2,4,0.007648925781160026
2,5,0.0028426236880035034
2,6,0.0008782659077263525
2,7,0.00023207025725679024
2,8,5.354433221859221e-05
2,9,1.0959767979728888e-05
2,10,2.0152428611407597e-06
3,0,0.0027802719807134865
3,1,0.005431814861003926
3,2,0.005282994522703886
3,3,0.0034336153214957472
3,4,0.001642788362534773
3,5,0.0006318068236391779
3,6,0.00020180842230171862
3,7,5.507654127748792e-05
3,8,1.3112941721260305e-05
3,9,2.7672718598166336e-06
3,10,5.241841631308384e-07
4,0,0.00038617350138129045
4,1,0.0007831898303302325
4,2,0.000789912129090907
4,3,0.000528435922593469
4,4,0.00026557405890603405
4,5,0.00010472819933430058
4,6,3.455793490535676e-05
4,7,9.734891444590422e-06
4,8,2.390354128907127e-06
4,9,5.198377052501381e-07
4,10,1.0139670152022402e-07
5,0,4.291090201349727e-05
5,1,9.021828832709523e-05
5,2,9.424652076924132e-05
5,3,6.524731544189436e-05
5,4,3.368793199349346e-05
5,5,1.3930136510264776e-05
5,6,4.7055735116975025e-06
5,7,1.3673381663137024e-06
5,8,3.4606881812972286e-07
5,9,7.751923892557001e-08
5,10,1.5563375875461162e-08
6,0,3.973484942704343e-06
6,1,8.64961959759471e-06
6,2,9.348449815050954e-06
6,3,6.6909108455453436e-06
6,4,3.568832110426807e-06
6,5,1.5136423757887622e-06
6,6,5.353403534896685e-07
6,7,1.5902233119012188e-07
6,8,4.146277171669366e-08
6,9,9.561657750004186e-09
6,10,1.975046376621045e-09
7,0,3.1537605028867807e-07
7,1,7.099787057512293e-07
7,2,7.930502022536824e-07
7,3,5.862464631606799e-07
7,4,3.2275803955017563e-07
7,5,1.4120636453296978e-07
7,6,5.1152731667611475e-08
7,7,1.588827119191777e-08
7,8,4.22968353418562e-09
7,9,1.0036827745717947e-09
7,10,2.13206305700094e-10
8,0,2.1902510696188526e-08
8,1,5.093629576548187e-08
8,2,5.874383880333276e-08
8,3,4.481065866479943e-08
8,4,2.544343964362403e-08
8,5,1.1473830388839561e-08
8,6,4.281901435808774e-09
8,7,1.3605627916775969e-09
8,8,3.7829164289151546e-10
8,9,9.15530806111394e-11
8,10,1.999146409501785e-11
9,0,1.3520930171599333e-09
9,1,3.2449828786956343e-09
9,2,3.8602710277360085e-09
9,3,3.0359921456191367e-09
9,4,1.7764335773176709e-09
9,5,8.251313280196574e-10
9,6,3.170145170910982e-10
9,7,1.0365131262571074e-10
9,8,2.9449890029883574e-11
9,9,7.43633336010373e-12
9,10,1.654490994209386e-12
10,0,7.5121067039758e-11
10,1,1.858757113042283e-10
10,2,2.2788274851832807e-10
10,3,1.8462917662806932e-10
10,4,1.1124298767938415e-10
10,5,5.318449047146661e-11
10,6,2.1022815267916542e-11
10,7,7.068804992760047e-12
10,8,2.0645382657308356e-12
10,9,5.322003094778566e-13
10,10,1.2342613024122747e-13
