team_a_goals,team_b_goals,probability
0,0,0.1103288825448932
0,1,0.06462833175303302
0,2,0.019336239424062523
0,3,0.00385682403700214
0,4,0.0005769642428721118
0,5,6.90490899992915e-05
0,6,6.88629738704488e-06
0,7,5.886630805910188e-07
0,8,4.4030729084539416e-08
0,9,2.927469858981547e-09
0,10,1.751747463211818e-10
1,0,0.17146264948655238
1,1,0.10652089310388156
1,2,0.0331150257459318
1,3,0.006845792927574144
1,4,0.0010600997363742865
1,5,0.00013117727176541237
1,6,1.351202746391448e-05
1,7,1.1917805862475797e-06
1,8,9.188983550141837e-08
1,9,6.2921311089211816e-09
1,10,3.874399819730074e-10
2,0,0.13612439956345754
2,1,0.08785605164481738
2,2,0.02824686263976467
2,3,0.006053057929368773
2,4,0.0009694082927909584
2,5,0.00012393120606785143
2,6,1.3175966691627873e-05
2,7,1.198391830214379e-06
2,8,9.519901680699548e-08
2,9,6.710684116242276e-09
2,10,4.250474369291838e-10
3,0,0.07204621419300264
3,1,0.048193417104783004
3,2,0.016059107854295592
3,3,0.0035513589926055066
3,4,0.0005884065770586958
3,5,7.765704209482335e-05
3,6,8.51593446181322e-06
3,7,7.982447260030086e-07
3,8,6.529973011032954e-08
3,9,4.736498663505117e-09
3,10,3.084782529440831e-10
4,0,0.028598787191294123
4,1,0.019802866799215883
4,2,0.006824497716127314
4,3,0.0015610762020491491
4,4,0.00026643443557159113
4,5,3.631804950542276e-05
4,6,4.1052367506379655e-06
4,7,3.9634933201332773e-07
4,8,3.337138440232855e-08
4,9,2.489647401353634e-09
4,10,1.6665992664765558e-10
5,0,0.009081844346429125
5,1,0.006502154901105605
5,2,0.0023150587457191336
5,3,0.0005466946284227905
5,4,9.635385632697106e-05
5,5,1.3508747951871257e-05
5,6,1.5748478425620515e-06
5,7,1.5651868907687804e-07
5,8,1.355697355896104e-08
5,9,1.0397977746992735e-09
5,10,7.151480536783929e-11
6,0,0.002403362311050342
6,1,0.001777201267000129
6,2,0.0006531022885883912
6,3,0.0001590792922889647
6,4,2.8900287976938192e-05
6,5,4.178161129947428e-06
6,6,5.003139389888144e-07
6,7,5.121961637922803e-08
6,8,4.561570147256819e-09
6,9,3.595238427780435e-10
6,10,2.5395372240597312e-11
7,0,0.0005451520491569711
7,1,0.00041593912999131566
7,2,0.00015762131069578173
7,3,3.9567150525466924e-05
7,4,7.403881690096897e-06
7,5,1.1018695054290523e-06
7,6,1.3588856298546013e-07
7,7,1.4272552707285444e-08
7,8,1.3078795078099607e-09
7,9,1.0587986530870583e-10
7,10,7.677950998871213e-12
8,0,0.00010819921362538661
8,1,8.509779833653015e-05
8,2,3.3225072369574995e-05
8,3,8.588700947860855e-06
8,4,1.6541425791833874e-06
8,5,2.53246871380987e-07
8,6,3.211281075622241e-08
8,7,3.4698789143313968e-09
8,8,3.258772559670954e-10
8,9,2.711824874244155e-11
8,10,2.0180117721897387e-12
9,0,1.908877405610423e-05
9,1,1.546201146717231e-05
9,2,6.214663901703564e-06
9,3,1.6530686571312245e-06
9,4,3.2745674384437876e-07
9,5,5.1540378191507994e-08
9,6,6.715974474275448e-09
9,7,7.453793250548812e-10
9,8,7.194626029622339e-11
9,9,6.130352411263402e-12
9,10,4.68518205318133e-13
10,0,3.0309200453518954e-06
10,1,2.5263297770576446e-06
10,2,1.044493229737871e-06
10,3,2.8567708296567294e-07
10,4,5.816539193049239e-08
10,5,9.406153373238597e-09
10,6,1.2587900469137477e-09
10,7,1.4342560016246536e-10
10,8,1.4206518381204566e-11
10,9,1.2430055153444597e-12
10,10,9.718947855325296e-14
