team_a_goals,team_b_goals,probability
0,0,0.10989349805033731
0,1,0.0643612904154313
0,2,0.019498352664267474
0,3,0.00393803743592016
0,4,0.0005965172717563227
0,5,7.228633273171785e-05
0,6,7.299752171488896e-06
0,7,6.318489233989133e-07
0,8,4.7854902610901797e-08
0,9,3.221714866873602e-09
0,10,1.9520470224429654e-10
1,0,0.16974675834538158
1,1,0.10652731433792394
1,2,0.0333866366854326
1,3,0.006968018619829849
1,4,0.0010895675242779432
1,5,0.0001361644858521751
1,6,1.4167479104237245e-05
1,7,1.2624029340627758e-06
1,8,9.834588027512465e-08
1,9,6.804967000643927e-09
1,10,4.2346791355772727e-10
2,0,0.13562864217928636
2,1,0.08805406654880234
2,2,0.028519984212678394
2,3,0.006145372425256739
2,4,0.0009911793421524973
2,5,0.000127655403657883
2,6,1.367675228204502e-05
2,7,1.253890419073314e-06
2,8,1.0042970600994979e-07
2,9,7.139464870904184e-09
2,10,4.5613965810558535e-10
3,0,0.07224537995582242
3,1,0.04846885890106098
3,2,0.01620783302011483
3,3,0.003602558040486495
3,4,0.0005988850216965477
3,5,7.94357391257334e-05
3,6,8.758250696316335e-06
3,7,8.257299597073489e-07
3,8,6.796490183038707e-08
3,9,4.9618661937434685e-09
3,10,3.2535623596058947e-10
4,0,0.02886223832091642
4,1,0.019988692606369807
4,2,0.006894546972609693
4,3,0.001579502064026652
4,4,0.000270434418030263
4,5,3.69178215505489e-05
4,6,4.186418258730169e-06
4,7,4.056792551136608e-07
4,8,3.4298404559357943e-08
4,9,2.570478003230057e-09
4,10,1.7292292632988005e-10
5,0,0.009224438173378209
5,1,0.006588261610496904
5,2,0.0023419059089068105
5,3,0.0005525472650761494
5,4,9.736722947799146e-05
5,5,1.3671387776609824e-05
5,6,1.59359139570218e-06
5,7,1.5864091037323923e-07
5,8,1.3770590606123673e-08
5,9,1.058997481882244e-09
5,10,7.306340374336905e-11
6,0,0.0024567931596401376
6,1,0.001807907942358812
6,2,0.0006617439301602863
6,3,0.00016067474207641036
6,4,2.9120317690565094e-05
6,5,4.202945152303535e-06
6,6,5.033083773465491e-07
6,7,5.1446094898321725e-08
6,8,4.582892589665164e-09
6,9,3.6149953036367e-10
6,10,2.5569380257060314e-11
7,0,0.000560854843171512
7,1,0.0004248723546024816
7,2,0.00016000859650551846
7,3,3.995259821333346e-05
7,4,7.44240053650817e-06
7,5,1.1034907224464564e-06
7,6,1.356841632936748e-07
7,7,1.4233551687256118e-08
7,8,1.3006376820647278e-09
7,9,1.05189984598683e-10
7,10,7.624924032330631e-12
8,0,0.00011203156628807927
8,1,8.729580951338567e-05
8,2,3.380046458475724e-05
8,3,8.672981616330318e-06
8,4,1.6595139374669792e-06
8,5,2.526287692140809e-07
8,6,3.187815452373509e-08
8,7,3.4303077033925498e-09
8,8,3.21395961566641e-10
8,9,2.6639996390885306e-11
8,10,1.978269762970948e-12
9,0,1.98919710553693e-05
9,1,1.5930888373538478e-05
9,2,6.337279849999005e-06
9,3,1.669957916030485e-06
9,4,3.2801796025295327e-07
9,5,5.123914956115724e-08
9,6,6.631900115208607e-09
9,7,7.316912883684063e-10
9,8,7.026044693164263e-11
9,9,5.9663366251346066e-12
9,10,4.5372387554096903e-13
10,0,3.1787599961349113e-06
10,1,2.614635940002453e-06
10,2,1.0678538155051252e-06
10,3,2.887994486291841e-07
10,4,5.819866929339225e-08
10,5,9.323599982152011e-09
10,6,1.2371637530704705e-09
10,7,1.3988326490382718e-10
10,8,1.3760651806641655e-11
10,9,1.1966534008230044e-12
10,10,9.315971916323453e-14
