team_a_goals,team_b_goals,probability
0,0,0.10156487409488438
0,1,0.02996241657463781
0,2,0.007091680301638998
0,3,0.0009272671678108705
0,4,9.093307551187225e-05
0,5,7.133930335585348e-06
0,6,4.6639576914581434e-07
0,7,2.613566474314539e-08
0,8,1.2815057289541375e-09
0,9,5.585409650357358e-11
0,10,2.190947744649487e-12
1,0,0.15562275601636721
1,1,0.08635166744197259
1,2,0.015188892824458958
1,3,0.0019860119227686907
1,4,0.00019475958861668512
1,5,1.52793835417707e-05
1,6,9.989219832286636e-07
1,7,5.597711597177887e-08
1,8,2.7447166740604425e-09
1,9,1.1962776796406025e-10
1,10,4.6925508570627535e-12
2,0,0.17205492071857767
2,1,0.06749072388631243
2,2,0.016793489165814725
2,3,0.002126810640072115
2,4,0.00020856710907786295
2,5,1.636261853104973e-05
2,6,1.06974075944664e-06
2,7,5.994562494033729e-08
2,8,2.93930391829525e-09
2,9,1.2810880279074447e-10
2,10,5.02523020001173e-12
3,0,0.12283519276859671
3,1,0.048183661612487556
3,2,0.009450326059081377
3,3,0.001567661837044303
3,4,0.00014890234433150959
3,5,1.1681766456119067e-05
3,6,7.637201647605357e-07
3,7,4.279698810372507e-08
3,8,2.0984576430675965e-09
3,9,9.146073486555105e-11
3,10,3.5876632748833905e-12
4,0,0.06577180931304713
4,1,0.02579982602828723
4,2,0.00506015441905934
4,3,0.0006616365737415425
4,4,8.231639841018806e-05
4,5,6.25497382691323e-06
4,6,4.089321302225425e-07
4,7,2.2915544619477945e-08
4,8,1.1236141112372925e-09
4,9,4.897243108935862e-11
4,10,1.921005694512807e-12
5,0,0.028173886019530244
5,1,0.01105156396694234
5,2,0.0021675580363807894
5,3,0.0002834173730301951
5,4,2.7793514402084127e-05
5,5,2.7663065743822927e-06
5,6,1.7516938255077246e-07
5,7,9.816058717675566e-09
5,8,4.813091844450074e-10
5,9,2.0977736602073228e-11
5,10,8.228783128417932e-13
6,0,0.010057093124090432
6,1,0.003945022277201453
6,2,0.0007737425007200218
6,3,0.00010117010168827515
6,4,9.921313744001908e-06
6,5,7.783522188024346e-07
6,6,6.45582523590696e-08
6,7,3.5039900625270184e-09
6,8,1.7181056550338692e-10
6,9,7.488319161703222e-12
6,10,2.9373881247008467e-13
7,0,0.003077169364866452
7,1,0.001207058694330018
7,2,0.0002367420376975124
7,3,3.095502186510177e-05
7,4,3.0356249400874727e-06
7,5,2.38152473405808e-07
7,6,1.5569721147125024e-08
7,7,1.1069031981319565e-09
7,8,5.256888866435926e-11
7,9,2.2912014470204674e-12
7,10,8.987528144092272e-14
8,0,0.0008238314774790197
8,1,0.0003231583412039306
8,2,6.33814780962503e-05
8,3,8.28739610165361e-06
8,4,8.127090461830851e-07
8,5,6.375908530458954e-08
8,6,4.168384919927546e-09
8,7,2.335859756771274e-10
8,8,1.4530602599654653e-11
8,9,6.13409159356706e-13
8,10,2.4061751928149546e-14
9,0,0.0001960527059660876
9,1,7.690415938271343e-05
9,2,1.5083315737005974e-05
9,3,1.9722072724313613e-06
9,4,1.9340582634070276e-07
9,5,1.5173177458742744e-08
9,6,9.919785361452648e-10
9,7,5.55880223797297e-11
9,8,2.725638312281214e-12
9,9,1.507136415906357e-13
9,10,5.726136600453676e-15
10,0,4.199038044870471e-05
10,1,1.6471259066052063e-05
10,2,3.2305300919150304e-06
10,3,4.22405461250914e-07
10,4,4.142347431025508e-08
10,5,3.2497765892531256e-09
10,6,2.1246101105533278e-10
10,7,1.1905789295862693e-11
10,8,5.837745984391096e-13
10,9,2.544366522977896e-14
10,10,1.2662122785782341e-15
