team_a_goals,team_b_goals,probability
0,0,0.06723082424185794
0,1,0.03326732272078965
0,2,0.013957449293560503
0,3,0.0032090068590852976
0,4,0.0005533456438781857
0,5,7.633300021957352e-05
0,6,8.774995922506566e-06
0,7,8.646388087366774e-07
0,8,7.454707006747267e-08
0,9,5.713127428462207e-09
0,10,3.9405764017115723e-10
1,0,0.10961791443478061
1,1,0.09925055672078309
1,2,0.031056704793730256
1,3,0.007140357568746314
1,4,0.0012312487725640552
1,5,0.00016984847331186657
1,6,1.9525233601042407e-05
1,7,1.923906845108625e-06
1,8,1.6587460213028847e-07
1,9,1.2712273443585046e-08
1,10,8.768172138841925e-10
2,0,0.1290777641216359
2,1,0.08903018489477732
2,2,0.035260166700735486
2,3,0.00794400081526868
2,4,0.0013698251325479133
2,5,0.00018896482388605518
2,6,2.1722787710787694e-05
2,7,2.1404414833425987e-06
2,8,1.845436957279353e-07
2,9,1.4143032702140841e-08
2,10,9.755025003825702e-10
3,0,0.09573692946914697
3,1,0.06603365490483978
3,2,0.022773049043194476
3,3,0.006012803459082162
3,4,0.001015998789506631
3,5,0.00014015513934283183
3,6,1.611178353679231e-05
3,7,1.5875646492489742e-06
3,8,1.3687599023819496e-07
3,9,1.0489882076116156e-08
3,10,7.235298404153908e-10
4,0,0.05325603363920585
4,1,0.036732852896281545
4,2,0.012668071481261551
4,3,0.002912561415752848
4,4,0.0005767560809120595
4,5,7.796476090195562e-05
4,6,8.962577876487432e-06
4,7,8.831220808273823e-07
4,8,7.614065315176097e-08
4,9,5.8352562152829414e-09
4,10,4.024813594272318e-10
5,0,0.02369998816303585
5,1,0.016346845969308497
5,2,0.005637542333482496
5,3,0.0012961474289486118
5,4,0.0002235014024984234
5,5,3.5406853166739316e-05
5,6,3.988524399358679e-06
5,7,3.9300679062806477e-07
5,8,3.388409641333293e-08
5,9,2.596804414076327e-09
5,10,1.7911216443362252e-10
6,0,0.008789136187105135
6,1,0.006062224776886933
6,2,0.002090681522230817
6,3,0.0004806760321240711
6,4,8.288545340421027e-05
6,5,1.1433893811036934e-05
6,6,1.509454358249983e-06
6,7,1.457464949570975e-07
6,8,1.2565910831055687e-08
6,9,9.630244323155386e-10
6,10,6.642371275229466e-11
7,0,0.002793813869709511
7,1,0.0019270070803786002
7,2,0.0006645675877139508
7,3,0.0001527931001177807
7,4,2.6346904222235615e-05
7,5,3.6345063307731187e-06
7,6,4.1781114512881924e-07
7,7,4.727799628239678e-08
7,8,3.994342017005363e-09
7,9,3.0611779799471406e-10
7,10,2.11141898378166e-11
8,0,0.0007770640141267496
8,1,0.0005359726620891021
8,2,0.00018484107440601527
8,3,4.249746949704208e-05
8,4,7.328058385246737e-06
8,5,1.0108919958412608e-06
8,6,1.162088888958274e-07
8,7,1.1450571162293998e-08
8,8,1.1337420237818848e-09
8,9,8.514279619141089e-11
8,10,5.8726450205911265e-12
9,0,0.00019211602974302192
9,1,0.00013251024113768959
9,2,4.569885196424224e-05
9,3,1.0506785754416845e-05
9,4,1.8117393896830563e-06
9,5,2.4992607199584515e-07
9,6,2.8730696505877186e-08
9,7,2.8309614523354315e-09
9,8,2.4407865991339634e-10
9,9,2.148148904481737e-11
9,10,1.4519128732450417e-12
10,0,4.274771626521525e-05
10,1,2.9484838917221868e-05
10,2,1.0168446433265194e-05
10,3,2.3378637216790114e-06
10,4,4.0312992872214296e-07
10,5,5.561102229339718e-08
10,6,6.392864062296493e-09
10,7,6.299169157517544e-10
10,8,5.430991528571713e-11
10,9,4.162195326730546e-12
10,10,3.2968526626108263e-13
