team_a_goals,team_b_goals,probability
0,0,0.04955264815911456
0,1,0.03290615296930359
0,2,0.01935679595920898
0,3,0.006208363343422356
0,4,0.0014934202754361297
0,5,0.000287393503983196
0,6,4.6088291136274766e-05
0,7,6.3351583419015085e-06
0,8,7.61960390568784e-07
0,9,8.14619486943291e-08
0,10,7.838260689786583e-09
1,0,0.07937922362114022
1,1,0.09975631159731281
1,2,0.04407077438639279
1,3,0.014134951920415813
1,4,0.0034001592082442893
1,5,0.0006543259690730293
1,6,0.00010493196729466149
1,7,1.442363367245129e-05
1,8,1.7348007663504285e-06
1,9,1.8546928786918888e-07
1,10,1.784583663377276e-08
2,0,0.09789962546697942
2,1,0.09419892331842471
2,2,0.05058698014746158
2,3,0.016090944967335687
2,4,0.003870672854643079
2,5,0.0007448715226151953
2,6,0.00011945244105244865
2,7,1.6419574467544152e-05
2,8,1.9748623000491503e-06
2,9,2.1113450693267489e-07
2,10,2.0315341487320266e-08
3,0,0.07429797637239267
3,1,0.07148943977704768
3,2,0.034393534313911366
3,3,0.012313410643824671
3,4,0.0029375307507844566
3,5,0.000565297839738911
3,6,9.065483755025126e-05
3,7,1.2461142215971106e-05
3,8,1.4987623477402452e-06
3,9,1.6023418407021057e-07
3,10,1.5417717428664844e-08
4,0,0.0422896609667919
4,1,0.040691070181025885
4,2,0.019576453849764457
4,3,0.0062788148788258365
4,4,0.0016859337263923017
4,5,0.0003217618454101179
4,6,5.159982185496312e-05
4,7,7.0927568327178284e-06
4,8,8.530804558935378e-07
4,9,9.120368616308132e-08
4,10,8.775609710714894e-09
5,0,0.019256679785973112
5,1,0.018528758346865896
5,2,0.008914176527114216
5,3,0.0028590706284426586
5,4,0.0006877487365400334
5,5,0.00014773473180446659
5,6,2.349607974522524e-05
5,7,3.2297006881817353e-06
5,8,3.884518531305692e-07
5,9,4.152977677267189e-08
5,10,3.995991035695749e-09
6,0,0.007307138985079843
6,1,0.007030921943258844
6,2,0.0033825730886695698
6,3,0.001084902832803394
6,4,0.00026097310962047184
6,5,5.022161387042571e-05
6,6,8.990052449073613e-06
6,7,1.2255421012890554e-06
6,8,1.4740192553362616e-07
6,9,1.575888752734531e-08
6,10,1.5163186076465382e-09
7,0,0.002376657157370267
7,1,0.0022868171788544694
7,2,0.0011001866199520142
7,3,0.0003528661611471032
7,4,8.488186828348555e-05
7,5,1.6334650032461224e-05
7,6,2.6195306987497235e-06
7,7,4.019280014345661e-07
7,8,4.7942682087334595e-08
7,9,5.125600171357492e-09
7,10,4.931847442720408e-10
8,0,0.0006763846764528723
8,1,0.0006508166703092441
8,2,0.0003131075799748129
8,3,0.00010042393514710326
8,4,2.4156952902355943e-05
8,5,4.6487592637897265e-06
8,6,7.455052650895084e-07
8,7,1.0247491895715009e-07
8,8,1.3757844857140065e-08
8,9,1.4587200357355995e-09
8,10,1.4035789834114767e-10
9,0,0.0001711072692056901
9,1,0.00016463924610792653
9,2,7.920786032299378e-05
9,3,2.5404575094786936e-05
9,4,6.111064291298439e-06
9,5,1.1760120099011985e-06
9,6,1.8859293317656616e-07
9,7,2.592341925424159e-08
9,8,3.1179360631278978e-09
9,9,3.7208957897022656e-10
9,10,3.550680187279049e-11
10,0,3.895701475040955e-05
10,1,3.748440127001637e-05
10,2,1.8033727013911314e-05
10,3,5.784011464210722e-06
10,4,1.3913425352527194e-06
10,5,2.6774968374550076e-07
10,6,4.293808038482897e-08
10,7,5.9021398153139185e-09
10,8,7.098791405296306e-10
10,9,7.589389007718887e-11
10,10,8.151351576854912e-12
