team_a_goals,team_b_goals,probability
0,0,0.04684244470685963
0,1,0.025872525874657774
0,2,0.01431412693605432
0,3,0.00420584903850628
0,4,0.0009268378476937806
0,5,0.00016339690522467758
0,6,2.4005051785699198e-05
0,7,3.022836643124962e-06
0,8,3.330694210126541e-07
0,9,3.262137957324502e-08
0,10,2.875493528717444e-09
1,0,0.07166684056773233
1,1,0.09613185904181715
1,2,0.03638915860633937
1,3,0.01069204628547973
1,4,0.0023561932622754842
1,5,0.00041538515946993356
1,6,6.1025282274322534e-05
1,7,7.684609933887433e-06
1,8,8.46724081901428e-07
1,9,8.29295814234009e-08
1,10,7.31003648042572e-09
2,0,0.09800639951455593
2,1,0.08639020521625614
2,2,0.049865573116064585
2,3,0.013590579776425115
2,4,0.0029949395695300753
2,5,0.0005279929582222067
2,6,7.756877822857554e-05
2,7,9.76785000445031e-06
2,8,1.0762646247921058e-06
2,9,1.0541116845807807e-07
2,10,9.291732499392759e-09
3,0,0.08305013250903648
3,1,0.07320662758993954
3,2,0.0322649113323749
3,3,0.01241582338414703
3,4,0.0025378968040662272
3,5,0.00044741859063682693
3,6,6.57313945044015e-05
3,7,8.277227213897474e-06
3,8,9.120212572496092e-07
3,9,8.93248966571366e-08
3,10,7.873767622679365e-09
4,0,0.05278220001907214
4,1,0.04652619741158728
4,2,0.020505843303233
4,3,0.006025130399216385
4,4,0.00173889261927238
4,5,0.00028435520606393726
4,6,4.177534107951433e-05
4,7,5.260560690372249e-06
4,8,5.796316871205076e-07
4,9,5.677010282345942e-08
4,10,5.0041434614055144e-09
5,0,0.026836423299386857
5,1,0.023655640117256
5,2,0.010425929400396598
5,3,0.0030633992097515647
5,4,0.0006750775655992984
5,5,0.00015586549249253217
5,6,2.1240128988200875e-05
5,7,2.674663682603849e-06
5,8,2.947061946581049e-07
5,9,2.88640206275899e-08
5,10,2.54429167659954e-09
6,0,0.011370525405086703
6,1,0.010022835529390125
6,2,0.004417440200444238
6,3,0.0012979545803034984
6,4,0.0002860286754467122
6,5,5.042543362876105e-05
6,6,9.70207653066627e-06
6,7,1.1332483100981895e-06
6,8,1.2486627729832278e-07
6,9,1.2229613319836706e-08
6,10,1.0780100173552819e-09
7,0,0.004129425569294723
7,1,0.0036399860021757366
7,2,0.0016042785944072868
7,3,0.00047137723550494073
7,4,0.00010387682924596994
7,5,1.831296862291229e-05
7,6,2.69040444516633e-06
7,7,4.4369633021109465e-07
7,8,4.534759651367292e-08
7,9,4.4414199121290235e-09
7,10,3.91500126074324e-10
8,0,0.001312220461169458
8,1,0.0011566897211907378
8,2,0.0005097966198133868
8,3,0.00014979101644510857
8,4,3.3009264482577524e-05
8,5,5.819369238768977e-06
8,6,8.549382238584555e-07
8,7,1.076581135403802e-07
8,8,1.5535423022919337e-08
8,9,1.4113638779876504e-09
8,10,1.2440821788995042e-10
9,0,0.0003706563507450916
9,1,0.00032672436049261555
9,2,0.00014399970150885406
9,3,4.2310719252511384e-05
9,4,9.323961846310309e-06
9,5,1.6437681239614516e-06
9,6,2.4149012421697247e-07
9,7,3.040964889193638e-08
9,8,3.3506687080399544e-09
9,9,4.2978898933745725e-10
9,10,3.514096709381696e-11
10,0,9.422770103943221e-05
10,1,8.305937643024602e-05
10,2,3.660738793836372e-05
10,3,1.0756167529504514e-05
10,4,2.3703235829929587e-06
10,5,4.17876264770405e-07
10,6,6.13912568419511e-08
10,7,7.730695288893355e-09
10,8,8.51801968774308e-10
10,9,8.342691820864699e-11
10,10,9.631024904657602e-12
