team_a_goals,team_b_goals,probability
0,0,0.06420343486445339
0,1,0.09598409766941661
0,2,0.07511456920557792
0,3,0.03518334819146051
0,4,0.01235979920127424
0,5,0.0034735667671992065
0,6,0.0008135020298271262
0,7,0.0001633032549339057
0,8,2.8683959083624998e-05
0,9,4.4784819182314935e-06
0,10,6.293106265459259e-07
1,0,0.07889100314000368
1,1,0.10884314782820326
1,2,0.09595934905151793
1,3,0.04494695537247042
1,4,0.015789723595641337
1,5,0.004437504060699178
1,6,0.0010392541162108227
1,7,0.00020862096670705535
1,8,3.6643943658278134e-05
1,9,5.721289679986272e-06
1,10,8.039484045934674e-07
2,0,0.056774149391919874
2,1,0.07977831813944214
2,2,0.04522876187459834
2,3,0.02871001341687523
2,4,0.01008573712107918
2,5,0.002834470100685474
2,6,0.0006638269349436381
2,7,0.00013325731862295524
2,8,2.3406437774442764e-05
2,9,3.654492325743654e-06
2,10,5.135246490241917e-07
3,0,0.024176447952424227
3,1,0.03397243951495759
3,2,0.02386882160829845
3,3,0.009021308662353364
3,4,0.004294864849253149
3,5,0.0012070179755379635
3,6,0.00028268107076856127
3,7,5.6745696104185076e-05
3,8,9.967291992330738e-06
3,9,1.5562125448320608e-06
3,10,2.1867702259555524e-07
4,0,0.007721392242639179
4,1,0.010850002922286996
4,2,0.007623143580476793
4,3,0.0035706483807604024
4,4,0.0010121547377638265
4,5,0.0003854933219050631
4,6,9.028172506021267e-05
4,7,1.8123248649439423e-05
4,8,3.1833200320059867e-06
4,9,4.970179033417176e-07
4,10,6.984032845666411e-08
5,0,0.0019728257279816087
5,1,0.0027721898125521354
5,2,0.0019477230674298791
5,3,0.0009123052902610029
5,4,0.0003204899697585641
5,5,7.267821565288608e-05
5,6,2.3067097793813318e-05
5,7,4.630513524851223e-06
5,8,8.133423950230629e-07
5,9,1.2698871863617056e-07
5,10,1.784429446144789e-08
6,0,0.0004200496092200276
6,1,0.0005902484091372929
6,2,0.000414704807291717
6,3,0.00019424598697603287
6,4,6.823800229620602e-05
6,5,1.9177435909454562e-05
6,6,3.6240911162438825e-06
6,7,9.859185071515556e-07
6,8,1.7317503028564713e-07
6,9,2.703815186607945e-08
6,10,3.799366973486756e-09
7,0,7.665944264759813e-05
7,1,0.00010772088123618456
7,2,7.568401134640753e-05
7,3,3.545007249444979e-05
7,4,1.2453498607286077e-05
7,5,3.4998998117356795e-06
7,6,8.196691734629519e-07
7,7,1.3277013005573242e-07
7,8,3.160460338679841e-08
7,9,4.934487752824077e-09
7,10,6.933879908661501e-10
8,0,1.2241616860942853e-05
8,1,1.7201765503023997e-05
8,2,1.2085851884692786e-05
8,3,5.660962174805219e-06
8,4,1.9886781492724316e-06
8,5,5.588930869731103e-07
8,6,1.3089158527261415e-07
8,7,2.627531479303018e-08
8,8,3.724069345122391e-09
8,9,7.879800111875696e-10
8,10,1.1072595660762088e-10
9,0,1.7376383210902265e-06
9,1,2.4417074368524405e-06
9,2,1.7155282358873987e-06
9,3,8.035462080640706e-07
9,4,2.822832473638141e-07
9,5,7.933217126043028e-08
9,6,1.857942762476115e-08
9,7,3.729653884916772e-09
9,8,6.551078205656991e-10
9,9,8.253346776574962e-11
9,10,1.5717014143338975e-11
10,0,2.2198442185355497e-07
10,1,3.119297077686112e-07
10,2,2.1915984413717312e-07
10,3,1.026535489375047e-07
10,4,3.606186782626013e-08
10,5,1.0134736301501837e-08
10,6,2.3735339222174167e-09
10,7,4.764657013535815e-10
10,8,8.369044871707111e-11
10,9,1.3066751357975931e-11
10,10,1.4815879788578603e-12
