team_a_goals,team_b_goals,probability
0,0,0.0478494280920361
0,1,0.05563461507100428
0,2,0.04492195814476268
0,3,0.020895936313362663
0,4,0.0072899786503910725
0,5,0.0020346076069986097
0,6,0.0004732099037348265
0,7,9.433659509260589e-05
0,8,1.6455634097044543e-05
0,9,2.551505590946223e-06
0,10,3.560581541867873e-07
1,0,0.07197642777457829
1,1,0.10295482368296804
1,2,0.07629238430096884
1,3,0.03548823046427012
1,4,0.01238080163267184
1,5,0.0034554385397580823
1,6,0.0008036673671797835
1,7,0.00016021482730687857
1,8,2.7947124575517113e-05
1,9,4.333302757267155e-06
1,10,6.047048404518186e-07
2,0,0.06880074233318756
2,1,0.09601023571635917
2,2,0.056481974844748956
2,3,0.03013539289645929
2,4,0.010513353770888391
2,5,0.0029342403569548904
2,6,0.0006824468718554319
2,7,0.00013604895779721035
2,8,2.3731743408774176e-05
2,9,3.6796926592615276e-06
2,10,5.134946914795706e-07
3,0,0.03894882659508053
3,1,0.05435240806210687
3,2,0.037923918644097374
3,3,0.01487353789512143
3,4,0.005951720563886197
3,5,0.0016611044441623014
3,6,0.00038634037905475725
3,7,7.701875133880512e-05
3,8,1.343479049035526e-05
3,9,2.083112862572045e-06
3,10,2.906947660401147e-07
4,0,0.016537006451766378
4,1,0.02307710402001244
4,2,0.01610184804316837
4,3,0.007489949350676663
4,4,0.002203135570165463
4,5,0.0007052765721481162
4,6,0.0001640335255135349
4,7,3.270084619077283e-05
4,8,5.704182550269591e-06
4,9,8.844541378933987e-07
4,10,1.2342403203765e-07
5,0,0.005617064364558891
5,1,0.007838515332633545
5,2,0.005469255702997115
5,3,0.0025440836413015413
5,4,0.0008875560851531359
5,5,0.00020885656659785283
5,6,5.5716666341181824e-05
5,7,1.1107376559648835e-05
5,8,1.9375187779911386e-06
5,9,3.0041929502404056e-07
5,10,4.1922988547592117e-08
6,0,0.0015899397193210067
6,1,0.002218733142261133
6,2,0.0015481016974248133
6,3,0.0007201163041858408
6,4,0.0002512274350662256
6,5,7.011670060859108e-05
6,6,1.3749678842129365e-05
6,7,3.1440015679841055e-06
6,8,5.484249177373147e-07
6,9,8.503526728710498e-08
6,10,1.1866523208282806e-08
7,0,0.00038574928320583385
7,1,0.0005383063954259637
7,2,0.00037559859210661476
7,3,0.00017471376102431844
7,4,6.095250141925067e-05
7,5,1.7011630486263238e-05
7,6,3.95657226341166e-06
7,7,6.650333042574336e-07
7,8,1.3305820109943107e-07
7,9,2.0631155385705847e-08
7,10,2.879041743604804e-09
8,0,8.189127815656525e-05
8,1,0.0001142778500971662
8,2,7.973637313281704e-05
8,3,3.709023924274592e-05
8,4,1.2939695458614416e-05
8,5,3.6114238566295276e-06
8,6,8.399464986088017e-07
8,7,1.6744724088258554e-07
8,8,2.462693372426878e-08
8,9,4.379818078574736e-09
8,10,6.111959723956214e-10
9,0,1.5453172375782203e-05
9,1,2.1564632474157217e-05
9,2,1.5046534214368301e-05
9,3,6.999058671197499e-06
9,4,2.4417660697614103e-06
9,5,6.814883908859115e-07
9,6,1.5850086018465598e-07
9,7,3.159788362639289e-08
9,8,5.51178692305454e-09
9,9,7.205634737559507e-10
9,10,1.153348308809631e-10
10,0,2.6244612083984633e-06
10,1,3.662389833332241e-06
10,2,2.5554005615271606e-06
10,3,1.1886723017889681e-06
10,4,4.1469286527311003e-07
10,5,1.1573933185763948e-07
10,6,2.691870309453933e-08
10,7,5.366368654174771e-09
10,8,9.360842302635842e-10
10,9,1.4514324595629478e-10
10,10,1.707729828142021e-11
