team_a_goals,team_b_goals,probability
0,0,0.0923558376803014
0,1,0.0985849690560104
0,2,0.05090406102666703
0,3,0.015667384154599878
0,4,0.0036166111499318534
0,5,0.0006678779855395937
0,6,0.00010278061078827682
0,7,1.355746432226772e-05
0,8,1.5647818470807442e-06
0,9,1.6053754076395625e-07
0,10,1.482319841475515e-08
1,0,0.1379837144230989
1,1,0.1110415209073295
1,2,0.0673744271007481
1,3,0.020736676215882262
1,4,0.004786791060642234
1,5,0.0008839745934093329
1,6,0.00013603599848934343
1,7,1.794407701918133e-05
1,8,2.071077991783132e-06
1,9,2.1248058836540215e-07
1,10,1.9619348257335618e-08
2,0,0.09859786643926383
2,1,0.09104012248759212
2,2,0.031413015254325084
2,3,0.013723086644176272
2,4,0.0031677954455618124
2,5,0.00058499538741487
2,6,9.002570009587555e-05
2,7,1.1875004514725254e-05
2,8,1.3705949030692954e-06
2,9,1.406150867182215e-07
2,10,1.2983663014976117e-08
3,0,0.0434999659537408
3,1,0.0401655976103109
3,2,0.018543407977709914
3,3,0.004265550482977908
3,4,0.0013975859621185415
3,5,0.00025809158305994126
3,6,3.9718048985822514e-05
3,7,5.239081845744284e-06
3,8,6.046868332248486e-07
3,9,6.20373615142358e-08
3,10,5.728206091094414e-09
4,0,0.014393671280470078
4,1,0.01329036462698043
4,2,0.006135814431088079
4,3,0.0018884969068152344
4,4,0.0003258089978383865
4,5,8.539973136465112e-05
4,6,1.3142275596525487e-05
4,7,1.7335558832233244e-06
4,8,2.0008437510784828e-07
4,9,2.052749626731159e-08
4,10,1.8954018398469375e-09
5,0,0.0038101689210616537
5,1,0.003518111068717154
5,2,0.0016242200474908916
5,3,0.0004999066660381227
5,4,0.00011539692934559992
5,5,1.5926892024248537e-05
5,6,3.478910213675038e-06
5,7,4.588920102783799e-07
5,8,5.296461568219641e-08
5,9,5.433862339974557e-09
5,10,5.017344805495674e-10
6,0,0.000840495967761535
6,1,0.0007760700978501697
6,2,0.0003582913064896771
6,3,0.00011027582917375739
6,4,2.545573590475204e-05
6,5,4.700899519378536e-06
6,6,5.406752696003648e-07
6,7,1.012282899440306e-07
6,8,1.1683614778559868e-08
6,9,1.1986711037596991e-09
6,10,1.106790319604352e-10
7,0,0.00015892061925992982
7,1,0.00014673900324344613
7,2,6.77455674825364e-05
7,3,2.0850906766834093e-05
7,4,4.81315969245458e-06
7,5,8.888440770132303e-07
7,6,1.3678536964675283e-07
7,7,1.348492066974587e-08
7,8,2.2091329013133385e-09
7,9,2.2664422127545733e-10
7,10,2.0927144177843714e-11
8,0,2.6292562570608887e-05
8,1,2.4277179652922975e-05
8,2,1.1208140140724375e-05
8,3,3.4496704919343747e-06
8,4,7.963114098442416e-07
8,5,1.470544767520797e-07
8,6,2.2630404455565313e-08
8,7,2.985104862208214e-09
8,8,2.574995013464715e-10
8,9,3.749706864283785e-11
8,10,3.4622835619596888e-12
9,0,3.866633961302535e-06
9,1,3.5702479390718814e-06
9,2,1.6482902796096462e-06
9,3,5.073150646155437e-07
9,4,1.1710706146681774e-07
9,5,2.162610937766792e-08
9,6,3.3280700650957745e-09
9,7,4.389951647834495e-10
9,8,5.066815213233476e-11
9,9,3.8850744347079216e-12
9,10,5.091699665401924e-13
10,0,5.117710506723225e-07
10,1,4.7254267076369636e-07
10,2,2.1816061635289706e-07
10,3,6.714604129549775e-08
10,4,1.5499787279536683e-08
10,5,2.8623388789652548e-09
10,6,4.4048904834824776e-10
10,7,5.8103513021856726e-11
10,8,6.706218822858255e-12
10,9,6.880191508197272e-13
10,10,4.747962873822679e-14
