team_a_goals,team_b_goals,probability
0,0,0.09449947157054876
0,1,0.028333182863436945
0,2,0.007323907866949279
0,3,0.0010388702061306084
0,4,0.00011052002477286142
0,5,9.406122769687573e-06
0,6,6.671124813524907e-07
0,7,4.055465393642831e-08
0,8,2.15719987504646e-09
0,9,1.0199703580687515e-10
0,10,4.340374709992229e-12
1,0,0.14416804792079344
1,1,0.08930350961300487
1,2,0.016193331028686933
1,3,0.0022969662438859398
1,4,0.0002443623512144353
1,5,2.079715671921291e-05
1,6,1.4750012479894072e-06
1,7,8.9667285263103e-08
1,8,4.7696192123482035e-09
1,9,2.255178239228118e-10
1,10,9.596669666561763e-12
2,0,0.16499645547624917
2,1,0.07021247597267913
2,2,0.01944991802950203
2,3,0.0025393229560421947
2,4,0.00027014542755382075
2,5,2.2991499164637674e-05
2,6,1.6306310722589693e-06
2,7,9.912822901975918e-08
2,8,5.27286963390704e-09
2,9,2.4931258298122133e-10
2,10,1.0609230175114479e-11
3,0,0.12160366981786574
3,1,0.051747140389361526
3,2,0.011010220918854537
3,3,0.002033331839218603
3,4,0.0001990992793162745
3,5,1.6944913543532402e-05
3,6,1.2017877713395822e-06
3,7,7.305827507963507e-08
3,8,3.886145893883044e-09
3,9,1.8374531098125193e-10
3,10,7.819085079812935e-12
4,0,0.06721713719768871
4,1,0.028603533432415784
4,2,0.006085963780434999
4,3,0.0008632722532755627
4,4,0.00011956973693597353
4,5,9.36639971609848e-06
4,6,6.642951946238807e-07
4,7,4.0383387333700626e-08
4,8,2.148089791291759e-09
4,9,1.015662915120694e-10
4,10,4.3220448474735945e-12
5,0,0.02972373146185504
5,1,0.01264861584486752
5,2,0.002691241558892905
5,3,0.00038174301531716614
5,4,4.0611663767760226e-05
5,5,4.500018097250957e-06
5,6,2.937544322711784e-07
5,7,1.7857722162381385e-08
5,8,9.498953209584768e-10
5,9,4.491308764909799e-11
5,10,1.911228382645501e-12
6,0,0.01095331053024538
6,1,0.004661064082899957
6,2,0.0009917329708177876
6,3,0.00014067378434255923
6,4,1.4965555888198396e-05
6,5,1.2736864318508636e-06
6,6,1.1761013671524618e-07
6,7,6.5806400000089655e-09
6,8,3.500401164314636e-10
6,9,1.655064730092931e-11
6,10,7.04295084760812e-13
7,0,0.003459717846547256
7,1,0.0014722459065668562
7,2,0.00031324924539236673
7,3,4.443328808102267e-05
7,4,4.727027563669416e-06
7,5,4.023071989981106e-07
7,6,2.853292056260438e-08
7,7,2.2583001846358625e-09
7,8,1.1056383679448959e-10
7,9,5.227695287266866e-12
7,10,2.2245897870366563e-13
8,0,0.0009561896014526894
8,1,0.00040689625255002344
8,2,8.657517300319871e-05
8,3,1.2280379471934858e-05
8,4,1.3064460174611521e-06
8,5,1.1118882444574423e-07
8,6,7.885869065382258e-09
8,7,4.793924561060362e-10
8,8,3.31997406659332e-11
8,9,1.4448195185154763e-12
8,10,6.148274848439291e-14
9,0,0.000234906388832632
9,1,9.996189999435576e-05
9,2,2.126885841662024e-05
9,3,3.0169116991692504e-06
9,4,3.209536222735815e-07
9,5,2.7315675875803355e-08
9,6,1.9373155932061914e-09
9,7,1.1777198844914114e-10
9,8,6.264576173297155e-12
9,9,3.8564052699318464e-13
9,10,1.510442113157441e-14
10,0,5.1938350184417986e-05
10,1,2.2101809119826692e-05
10,2,4.702594177854786e-06
10,3,6.67046209707656e-07
10,4,7.096359409143073e-08
10,5,6.039559614414584e-09
10,6,4.283449939259332e-10
10,7,2.6039661196038942e-11
10,8,1.3851123958892933e-12
10,9,6.549108419405232e-14
10,10,3.62840421617716e-15
