team_a_goals,team_b_goals,probability
0,0,0.06729580343851219
0,1,0.012899733713655015
0,2,0.0037846787941692886
0,3,0.0005580550023861182
0,4,6.17143625572575e-05
0,5,5.459909907896018e-06
0,6,4.025348255937902e-07
0,7,2.5437513263437103e-08
0,8,1.4065458685814482e-09
0,9,6.913223910896354e-11
0,10,3.0580871423233874e-12
1,0,0.0774976955980783
1,1,0.08920467124145207
1,2,0.011644489447609459
1,3,0.0017169926273484849
1,4,0.0001898793220368029
1,5,1.679874746711455e-05
1,6,1.238496787664919e-06
1,7,7.82647275710314e-08
1,8,4.327582184651504e-09
1,9,2.127022324943784e-10
1,10,9.408952620633415e-12
2,0,0.12359408173890733
2,1,0.054672245121019515
2,2,0.028103765202718282
2,3,0.002641373762231137
2,4,0.0002921050744363234
2,5,2.5842726457425452e-05
2,6,1.905269054414936e-06
2,7,1.2040028280932885e-07
2,8,6.657432218616842e-09
2,9,3.272152058953534e-10
2,10,1.447447134388473e-11
3,0,0.1267558013829264
3,1,0.05607084211652063
3,2,0.012401559933963151
3,3,0.004249938614618208
3,4,0.0002995775548251012
3,5,2.6503821671256652e-05
3,6,1.9540086583808515e-06
3,7,1.234803003469637e-07
3,8,6.827739193903833e-09
3,9,3.355858554422031e-10
3,10,1.484474975641769e-11
4,0,0.0974988018732736
4,1,0.043128912970784285
4,2,0.00953910765210837
4,3,0.0014065517929183246
4,4,0.00036151251193488476
4,5,2.0386371509765847e-05
4,6,1.5029963201968081e-06
4,7,9.497933197085662e-08
4,8,5.251802155372449e-09
4,9,2.5812797895055225e-10
4,10,1.1418375329322388e-11
5,0,0.05999577936796065
5,1,0.026539328661067885
5,2,0.005869879291511574
5,3,0.000865520082464413
5,4,9.571640777594599e-05
5,5,1.9680855938719222e-05
5,6,9.248671151322404e-07
5,7,5.8445426363765805e-08
5,8,3.231690619208286e-09
5,9,1.588387649516348e-10
5,10,7.026284567978656e-12
6,0,0.030765280126617514
6,1,0.013609121995440732
6,2,0.003010019748309559
6,3,0.0004438306839705929
6,4,4.908248761767232e-05
6,5,4.342359693001448e-06
6,6,7.440500322587621e-07
6,7,2.997027346162087e-08
6,8,1.6571810255639405e-09
6,9,8.145104789342301e-11
6,10,3.6030136663018555e-12
7,0,0.013522414951381038
7,1,0.005981684352911147
7,2,0.001323008790460457
7,3,0.00019507908434784888
7,4,2.1573467287819518e-05
7,5,1.9086187219896117e-06
7,6,1.4071395267347755e-07
7,7,2.0666489801063713e-08
7,8,7.283889301512611e-10
7,9,3.580057985192058e-11
7,10,1.5836503249998875e-12
8,0,0.005200626881802347
8,1,0.00230051426139893
8,2,0.0005088199929722436
8,3,7.502606108335677e-05
8,4,8.29700569862037e-06
8,5,7.340415057797555e-07
8,6,5.4117608988445656e-08
8,7,3.419871546265354e-09
8,8,4.394883855005052e-10
8,9,1.3768654388393446e-11
8,10,6.090609170907231e-13
9,0,0.0017778888730530745
9,1,0.0007864549410288792
9,2,0.0001739454539716538
9,3,2.564844627785965e-05
9,4,2.836418463868513e-06
9,5,2.5093979151849304e-07
9,6,1.8500672523434326e-08
9,7,1.1691189749934203e-09
9,8,6.464544891346739e-11
9,9,7.384533103352258e-12
9,10,2.0821386577377837e-13
10,0,0.000547010971001909
10,1,0.00024197208692953767
10,2,5.3518570885145375e-05
10,3,7.891371455095144e-06
10,4,8.726934746062388e-07
10,5,7.720776090230346e-08
10,6,5.692184137388453e-09
10,7,3.5970803092416666e-10
10,8,1.988975256945346e-11
10,9,9.77588545929425e-13
10,10,1.0050408172868164e-13
