observed_order,match_id,team_a,team_b,actual_score,top_1_scoreline,top_1_probability,top_2_scoreline,top_2_probability,actual_is_top_1,actual_is_top_2,actual_in_top_2,actual_score_probability,player_covered,team_a_win_probability,draw_probability,team_b_win_probability
1,wc2026_group_a_mexico_south_africa,Mexico,South Africa,2-0,2-0,0.1148038090585599,1-0,0.10698904860466568,True,False,True,0.1148038090585599,True,0.6138363075488549,0.21900836554493758,0.16715532690620735
2,wc2026_group_a_south_korea_czechia,South Korea,Czechia,2-1,1-1,0.10916390252625745,1-0,0.09338745272818957,False,False,False,0.08983128754136788,True,0.4155640700382394,0.22878768298870023,0.3556482469730601
3,wc2026_group_b_canada_bosnia_and_herzegovina,Canada,Bosnia and Herzegovina,1-1,1-1,0.10112270956089246,2-1,0.09572498609625614,True,False,True,0.10112270956089246,True,0.47740466000875764,0.22058333616654419,0.30201200382469856
4,wc2026_group_d_usa_paraguay,USA,Paraguay,4-1,1-1,0.1005454954004594,1-2,0.0945901368439185,False,False,False,0.012786787112171604,True,0.3161111319736994,0.2215806230256709,0.4623082450006297
5,wc2026_group_b_qatar_switzerland,Qatar,Switzerland,1-1,1-1,0.10060643638499538,0-3,0.092513685508446,True,False,True,0.10060643638499538,True,0.06078561774182977,0.2180450000000002,0.7211693822581707
6,wc2026_group_c_brazil_morocco,Brazil,Morocco,1-1,1-0,0.10864305879680383,2-0,0.10862766930988149,False,False,False,0.09127348097542282,True,0.6388362388469822,0.21449917072228505,0.14666459043073293
7,wc2026_group_c_haiti_scotland,Haiti,Scotland,0-1,0-2,0.11536955304700126,1-1,0.10398556589415073,False,False,False,0.09543383963060476,True,0.11764836226837909,0.21804499999999985,0.6643066377316207
8,wc2026_group_d_australia_turkiye,Australia,Türkiye,2-0,1-1,0.10251995377184007,1-2,0.09281168169114026,False,False,False,0.04421014845360338,True,0.30453871366103397,0.2205476980785412,0.4749135882604247
9,wc2026_group_e_germany_curacao,Germany,Curaçao,7-1,3-0,0.08484701160089791,1-1,0.08329657152010744,False,False,False,0.012947505374572002,True,0.7497531442303387,0.1899795504034077,0.06026730536625381
10,wc2026_group_f_netherlands_japan,Netherlands,Japan,2-2,1-1,0.09588050673427145,1-0,0.0940021815747269,False,False,False,0.04856691286765948,True,0.5168517794331663,0.22313612943447875,0.2600120911323542
11,wc2026_group_e_ivory_coast_ecuador,Ivory Coast,Ecuador,1-0,1-1,0.11052742424273651,0-1,0.09227993954569719,False,False,False,0.09215249651601196,True,0.39442166673148643,0.23155964604429186,0.37401868722422227
12,wc2026_group_f_sweden_tunisia,Sweden,Tunisia,5-1,1-0,0.11680636451413581,1-1,0.1088977450874915,False,False,False,0.0081986792643646,True,0.5570782405832724,0.22879037902871377,0.21413138038801355
